corridor,net_link_id,lanes,miles,C_vphpl,C_veh_per_h,D_veh_per_lane,D_veh_total,D_over_C_h,V_veh_total,free_speed_mph,cutoff_mph,congested,P_h,t0_clock,T2_clock,t3_clock,vT2_mph,recovery_over_onset,speed_mae_episode_mph,speed_rmse_episode_mph,note
I-395 NB,26230,3,0.319695,2200.0,6600.0,5963.55749948651,17890.67249845953,2.71070795431205,26119.28535528102,59.823,41.8761,True,3.383330096388889,16:02,16:30,19:25,33.81111111111111,6.476659987209903,1.3020673644202565,1.8662115572818334,
I-395 NB,26297,3,0.19736,2200.0,6600.0,7160.268843551792,21480.806530655376,3.2546676561599055,21480.806530655376,56.94911111111111,39.864377777777776,True,6.411596201388889,13:26,17:30,19:50,14.055777777777777,0.5780302050796827,3.599294349712034,4.584466116451115,"episode runs past the PM window, as most do"
I-395 NB,26423,4,0.082891,2200.0,8800.0,0.0,0.0,0.0,33730.208420751995,64.90405555555556,45.43283888888889,False,0.0,,,,,,,,
I-395 NB,26469,6,0.162246,2200.0,13200.0,5479.710053773497,32878.260322640985,2.4907772971697715,32878.260322640985,50.997,35.6979,True,14.633681971388889,06:02,16:15,20:40,8.897777777777776,0.4330276732096877,0.7883234212353185,0.9390583050942074,episode spans the morning peak too; P is an all-day figure
I-395 NB,26778,4,0.391606,2200.0,8800.0,0.0,0.0,0.0,33125.27470777964,64.22716666666666,44.95901666666666,False,0.0,,,,,,,,
I-395 NB,26785,4,0.778625,2200.0,8800.0,0.0,0.0,0.0,30268.16576195341,65.51533333333333,45.86073333333333,False,0.0,,,,,,,,
I-395 NB,26812,3,0.095046,2200.0,6600.0,0.0,0.0,0.0,22660.255636270012,61.50416666666666,43.05291666666666,False,0.0,,,,,,,,
I-395 NB,26822,2,0.02384,2200.0,4400.0,7921.284934367122,15842.569868734245,3.6005840610759647,15842.569868734245,58.19111111111111,40.733777777777775,True,5.5321105075,14:11,17:30,19:43,20.43422222222222,0.673518327256635,3.150292487934311,3.9529064282742357,"episode runs past the PM window, as most do"
I-395 NB,26825,3,0.273911,2200.0,6600.0,6109.594130529825,18328.782391589473,2.7770882411499205,18328.782391589473,52.44157780508178,36.70910446355724,True,7.358937995555555,12:51,17:30,20:12,9.56641891988262,0.583702156454885,1.9313507316532448,2.4026270551373003,"episode runs past the PM window, as most do"
I-395 NB,26830,2,0.080932,2200.0,4400.0,5489.109352787476,10978.218705574953,2.495049705812489,10978.218705574953,51.17711111111111,35.82397777777778,True,9.04712972611111,11:27,17:30,20:30,8.138888888888888,0.49798493481523665,1.1656237481878438,1.55693117136644,episode spans the morning peak too; P is an all-day figure
