net_link_id,corridor,t_min,clock,obs_speed_mph,obs_speed_smoothed_mph,backcalc_speed_mph,in_episode,cutoff_mph,free_speed_mph,q_vphpl,in_pm_period
25608,I-66 EB,0,00:00,57.630723231438076,58.70839191665003,63.683037636632164,False,44.57812634564251,63.683037636632164,1859.4833387779206,False
25608,I-66 EB,15,00:15,59.78606060186199,58.70250833066054,63.683037636632164,False,44.57812634564251,63.683037636632164,1859.9173455983105,False
25608,I-66 EB,30,00:30,58.69074115868155,59.12934359198656,63.683037636632164,False,44.57812634564251,63.683037636632164,1826.909090240384,False
25608,I-66 EB,45,00:45,58.911229015416154,58.34204982233382,63.683037636632164,False,44.57812634564251,63.683037636632164,1885.4821638916662,False
25608,I-66 EB,60,01:00,57.424179292903766,58.03762552057983,63.683037636632164,False,44.57812634564251,63.683037636632164,1905.6086524172558,False
25608,I-66 EB,75,01:15,57.77746825341957,58.147909050558354,63.683037636632164,False,44.57812634564251,63.683037636632164,1898.4636777988476,False
25608,I-66 EB,90,01:30,59.24207960535173,58.311288901867066,63.683037636632164,False,44.57812634564251,63.683037636632164,1887.5743165810445,False
25608,I-66 EB,105,01:45,57.914318846829886,58.273753146475194,63.683037636632164,False,44.57812634564251,63.683037636632164,1890.1090235441968,False
25608,I-66 EB,120,02:00,57.66486098724397,58.711583370139145,63.683037636632164,False,44.57812634564251,63.683037636632164,1859.2476851036072,False
25608,I-66 EB,135,02:15,60.55557027634357,59.45894082331619,63.683037636632164,False,44.57812634564251,63.683037636632164,1799.1090565041893,False
25608,I-66 EB,150,02:30,60.15639120636101,59.94314214177171,63.683037636632164,False,44.57812634564251,63.683037636632164,1753.986066445253,False
25608,I-66 EB,165,02:45,59.11746494261054,59.70989110675106,63.683037636632164,False,44.57812634564251,63.683037636632164,1776.4102118835176,False
25608,I-66 EB,180,03:00,59.855817171281636,59.91390988492119,63.683037636632164,False,44.57812634564251,63.683037636632164,1756.8710622121278,False
25608,I-66 EB,195,03:15,60.76844754087138,60.94944407266371,63.683037636632164,False,44.57812634564251,63.683037636632164,1638.6646264740064,False
25608,I-66 EB,210,03:30,62.224067505838114,61.53301351438503,63.683037636632164,False,44.57812634564251,63.683037636632164,1552.3649707455381,False
25608,I-66 EB,225,03:45,61.60652549644561,61.55234529310297,63.683037636632164,False,44.57812634564251,63.683037636632164,1549.1667205938847,False
25608,I-66 EB,240,04:00,60.82644287702517,60.97863833821611,63.683037636632164,False,44.57812634564251,63.683037636632164,1634.758909667066,False
25608,I-66 EB,255,04:15,60.502946641177545,62.06840412577247,63.683037636632164,False,44.57812634564251,63.683037636632164,1452.9341484905524,False
25608,I-66 EB,270,04:30,64.87582285911469,63.2381971707498,63.683037636632164,False,44.57812634564251,63.683037636632164,1064.972251087254,False
25608,I-66 EB,285,04:45,64.33582201195718,64.33608577737985,63.683037636632164,False,44.57812634564251,63.683037636632164,41.418010084704875,False
25608,I-66 EB,300,05:00,63.79661246106769,63.87336506529791,63.683037636632164,False,44.57812634564251,63.683037636632164,41.418010084704875,False
25608,I-66 EB,315,05:15,63.48766072286886,63.61959516041025,63.683037636632164,False,44.57812634564251,63.683037636632164,656.9218938664487,False
25608,I-66 EB,330,05:30,63.57451229729419,63.94090199163472,63.683037636632164,False,44.57812634564251,63.683037636632164,41.418010084704875,False
25608,I-66 EB,345,05:45,64.76053295474111,64.06898885264114,63.683037636632164,False,44.57812634564251,63.683037636632164,41.418010084704875,False
25608,I-66 EB,360,06:00,63.87192130588816,64.18130647702903,63.683037636632164,False,44.57812634564251,63.683037636632164,41.418010084704875,False
25608,I-66 EB,375,06:15,63.91146517045779,63.45574348051096,63.683037636632164,False,44.57812634564251,63.683037636632164,902.3311592991904,False
25608,I-66 EB,390,06:30,62.58384396518694,63.357361129731764,63.683037636632164,False,44.57812634564251,63.683037636632164,986.267036025731,False
25608,I-66 EB,405,06:45,63.57677425355056,62.9462702893071,63.683037636632164,False,44.57812634564251,63.683037636632164,1204.6615805107983,False
25608,I-66 EB,420,07:00,62.6781926491838,62.859509187872256,63.683037636632164,False,44.57812634564251,63.683037636632164,1237.593999678286,False
25608,I-66 EB,435,07:15,62.32356066088243,61.63023900078929,63.683037636632164,False,44.57812634564251,63.683037636632164,1536.0193718136466,False
25608,I-66 EB,450,07:30,59.88896369230163,60.836074867972826,63.683037636632164,False,44.57812634564251,63.683037636632164,1653.4800214007141,False
25608,I-66 EB,465,07:45,60.29570025073443,59.485467406064735,63.683037636632164,False,44.57812634564251,63.683037636632164,1796.7752530336645,False
25608,I-66 EB,480,08:00,58.27173827515815,57.876813866071124,63.683037636632164,False,44.57812634564251,63.683037636632164,1915.7427823238352,False
25608,I-66 EB,495,08:15,55.0630030723208,55.51289616679781,63.683037636632164,False,44.57812634564251,63.683037636632164,2033.4504999287594,False
25608,I-66 EB,510,08:30,53.20394715291448,56.49339258569827,63.683037636632164,False,44.57812634564251,63.683037636632164,1990.8769722110198,False
25608,I-66 EB,525,08:45,61.213227531859516,59.48178446642635,63.683037636632164,False,44.57812634564251,63.683037636632164,1797.1001756881785,False
25608,I-66 EB,540,09:00,64.02817871450503,62.790973882318944,63.683037636632164,False,44.57812634564251,63.683037636632164,1261.7165921516746,False
25608,I-66 EB,555,09:15,63.13151540059226,61.59863545066415,63.683037636632164,False,44.57812634564251,63.683037636632164,1541.4048453871385,False
25608,I-66 EB,570,09:30,57.63621223689515,48.94685375438602,63.683037636632164,False,44.57812634564251,63.683037636632164,2181.6544929896227,False
25608,I-66 EB,585,09:45,26.072833625670675,36.12350543379983,63.683037636632164,False,44.57812634564251,63.683037636632164,2126.5057702896,False
25608,I-66 EB,600,10:00,24.661470438833664,24.879241821885753,63.683037636632164,False,44.57812634564251,63.683037636632164,1865.7920049877098,False
25608,I-66 EB,615,10:15,23.90342140115291,25.65131385085827,63.683037636632164,False,44.57812634564251,63.683037636632164,1889.1212789415358,False
25608,I-66 EB,630,10:30,28.38904971258823,29.69375541982771,63.683037636632164,False,44.57812634564251,63.683037636632164,1998.2126698112168,False
25608,I-66 EB,645,10:45,36.788795145741986,38.2634814747359,63.683037636632164,False,44.57812634564251,63.683037636632164,2156.2109163228615,False
