link_id,period,holdout_cases,MAE_veh,MAPE_pct,median_APE_pct,max_APE_pct
L405S-012,AM,4,5061.647940534103,18.743053030449083,15.658712523108132,30.176596522677592
L405S-018,PM,4,29126.872963837523,99.24865483669412,22.21623130063073,340.4456935899931
L405S-115,AM,4,5835.557369064521,26.378673145512185,22.795641640418804,53.38815885028049
