link_id,period,V_measured_veh,V_speed_only_veh,error_pct
L405S-012,AM,30799.2,36645.683796325735,18.982583301922563
L405S-012,MD,21659.8,30147.079089856536,39.18447580243833
L405S-012,PM,30646.400000000005,41109.50150423582,34.141372246775525
L405S-012,NT,6659.599999999999,11137.25581180431,67.23610745096269
L405S-012,FULL DAY,97739.8,149272.63741921957,52.72451695135406
L405S-018,AM,42933.8,50162.617808428615,16.837125547770317
L405S-018,MD,26105.599999999995,40001.35286870886,53.22901166304881
L405S-018,PM,44391.0,62158.281511948946,40.02451287862167
L405S-018,NT,8799.0,12367.476002466197,40.55547224077961
L405S-018,FULL DAY,132499.4,205157.2048633957,54.83632745763052
L405S-028,AM,25384.600000000002,30605.51630347886,20.567258509012778
L405S-028,MD,22041.199999999997,26997.0518593241,22.484492039109046
L405S-028,PM,32874.4,40253.75420004196,22.447114472178846
L405S-028,NT,7185.0,11321.43104906333,57.570369506796524
L405S-028,FULL DAY,98595.40000000001,149613.6012754862,51.74501170996435
L405S-030,AM,27969.399999999998,30133.479372511985,7.737310677068467
L405S-030,MD,22357.3,28903.049116194572,29.277905275657496
L405S-030,PM,31855.0,43373.25123642032,36.158377763052336
L405S-030,NT,6940.05,13506.49162816476,94.61663285084056
L405S-030,FULL DAY,99481.95,160658.87929248041,61.49550676527794
L405S-058,AM,36927.6,43242.87192564529,17.101766498893216
L405S-058,MD,27927.400000000005,35354.50682880119,26.59433684768787
L405S-058,PM,39091.6,53915.04207190713,37.91976299743969
L405S-058,NT,9394.0,11714.213363453719,24.698886134274204
L405S-058,FULL DAY,128057.8,194297.97451136878,51.726778463606884
L405S-098,AM,22607.600000000002,31651.979310732364,40.005924161487115
L405S-098,MD,20096.4,25891.306758071252,28.83554645643623
L405S-098,PM,34460.6,37660.82309484406,9.2866145535599
L405S-098,NT,7157.399999999999,11713.35620141725,63.6537877080679
L405S-098,FULL DAY,91535.8,146401.46545770325,59.939024357358804
L405S-115,AM,27113.0,32625.110820556554,20.330139861160898
L405S-115,MD,25083.400000000005,32201.375280607972,28.377234667580815
L405S-115,PM,36915.200000000004,47088.076441123754,27.55741927748935
L405S-115,NT,7420.2,11089.942030023567,49.45610670903166
L405S-115,FULL DAY,105879.39999999998,160532.5524788796,51.61830580724828
