link_id,local_date,episode_id,t0_la,T2_la,t3_la,P_h,onset_to_T2_h,T2_to_recovery_h,asymmetry_ratio,vT2_robust_mph,speed_raw_at_robust_T2_mph,T2_raw_la,vT2_raw_min_mph,free_speed_p95_mph,enter_threshold_mph,exit_threshold_mph,period_by_T2,cross_period,missing_bins_inside,quality_status,quality_flags,detection_source,multiple_episode_day,stable_speed_only_v1
L405S-012,2025-06-02,L405S-012-2025-06-02-E1,2025-06-02T06:54:49.354838-07:00,2025-06-02T08:25:00-07:00,2025-06-02T09:13:23.804347-07:00,2.3095693080555555,1.5029569894444443,0.806612318611111,1.8632953585836065,32.3,32.3,2025-06-02T08:30:00-07:00,31.600000000000005,68.3,47.81,51.225,AM,False,0,accepted,,speed_only,False,True
L405S-012,2025-06-03,L405S-012-2025-06-03-E1,2025-06-03T06:41:15.762711-07:00,2025-06-03T08:25:00-07:00,2025-06-03T09:58:31.874999-07:00,3.287808968888889,1.7289548025,1.5588541663888889,1.1091190181729134,22.5,21.2,2025-06-03T08:25:00-07:00,21.2,68.3,47.81,51.225,AM,False,0,accepted,,speed_only,True,True
L405S-012,2025-06-03,L405S-012-2025-06-03-E2,2025-06-03T17:23:17.294117-07:00,2025-06-03T17:30:00-07:00,2025-06-03T17:48:57.828947-07:00,0.4279263416666667,0.1118627452777777,0.3160635963888888,0.3539248004383913,29.500000000000004,29.500000000000004,2025-06-03T17:35:00-07:00,23.4,68.3,47.81,51.225,PM,False,0,accepted,,speed_only,True,True
L405S-018,2025-06-03,L405S-018-2025-06-03-E2,2025-06-03T16:18:03.802816-07:00,2025-06-03T17:15:00-07:00,2025-06-03T18:33:39.736842-07:00,2.259981673888889,0.9489436622222224,1.311038011666667,0.7238109450509911,27.500000000000004,29.9,2025-06-03T17:10:00-07:00,25.600000000000005,68.5,47.95,51.375,PM,False,0,accepted,,speed_only,True,True
L405S-018,2025-06-04,L405S-018-2025-06-04-E1,2025-06-04T17:14:24.473684-07:00,2025-06-04T17:30:00-07:00,2025-06-04T17:47:01.874999-07:00,0.5437225875,0.2598684211111111,0.2838541663888889,0.9154997596726602,39.2,39.2,2025-06-04T17:35:00-07:00,36.9,68.5,47.95,51.375,PM,False,0,accepted,,speed_only,False,True
L405S-018,2025-06-05,L405S-018-2025-06-05-E2,2025-06-05T17:25:09.375000-07:00,2025-06-05T17:40:00-07:00,2025-06-05T17:54:32.794117-07:00,0.489838643611111,0.2473958333333333,0.2424428102777777,1.0204296553479175,41.5,41.5,2025-06-05T17:45:00-07:00,36.5,68.5,47.95,51.375,PM,False,0,accepted,,speed_only,True,True
L405S-028,2025-06-03,L405S-028-2025-06-03-E2,2025-06-03T15:58:23.653846-07:00,2025-06-03T16:50:00-07:00,2025-06-03T18:24:48.157894-07:00,2.440140013333333,0.8600961538888888,1.5800438594444444,0.5443495436837464,35.7,41.20000000000001,2025-06-03T16:45:00-07:00,35.5,69.1,48.36999999999999,51.825,PM,False,0,accepted,,speed_only,True,True
L405S-028,2025-06-04,L405S-028-2025-06-04-E2,2025-06-04T18:05:14.375000-07:00,2025-06-04T18:30:00-07:00,2025-06-04T19:41:30.234374-07:00,1.6044053816666666,0.4126736111111111,1.1917317705555557,0.3462806155773903,34.8,34.8,2025-06-04T18:35:00-07:00,34.6,69.1,48.36999999999999,51.825,PM,True,0,accepted,,speed_only,True,True
L405S-028,2025-06-05,L405S-028-2025-06-05-E1,2025-06-05T06:45:43.043478-07:00,2025-06-05T07:45:00-07:00,2025-06-05T08:08:22.777777-07:00,1.3777039719444444,0.9880434783333332,0.3896604936111111,2.535652175504916,39.9,39.9,2025-06-05T07:50:00-07:00,39.3,69.1,48.36999999999999,51.825,AM,False,0,accepted,,speed_only,False,True
L405S-030,2025-06-02,L405S-030-2025-06-02-E1,2025-06-02T07:37:18.883928-07:00,2025-06-02T08:00:00-07:00,2025-06-02T08:21:06.240875-07:00,0.7298213741666667,0.3780877977777778,0.3517335763888888,1.0749266580104675,41.275000000000006,41.275000000000006,2025-06-02T08:05:00-07:00,40.425,68.975,48.28249999999999,51.73125,AM,False,0,accepted,,speed_only,False,True
