link_id,local_date,episode_id,t0_la,T2_la,t3_la,P_h,onset_to_T2_h,T2_to_recovery_h,asymmetry_ratio,vT2_robust_mph,speed_raw_at_robust_T2_mph,T2_raw_la,vT2_raw_min_mph,free_speed_p95_mph,enter_threshold_mph,exit_threshold_mph,period_by_T2,cross_period,missing_bins_inside,quality_status,quality_flags,detection_source,multiple_episode_day,paq_object,overlap_iou,paq_xstar_link_id,strict_candidate_v1,t0_la_stability,T2_la_stability,t3_la_stability,P_h_stability,quality_status_stability,deterministic_match_rate,deterministic_median_iou,deterministic_median_abs_t0_min,deterministic_median_abs_T2_min,deterministic_median_abs_t3_min,deterministic_median_abs_P_min,sampling_pass_rate,noise_match_rate,noise_median_iou,noise_median_abs_P_min,stable_speed_only_v1
L405S-012,2025-06-02,L405S-012-2025-06-02-E1,2025-06-02T06:54:49.354838-07:00,2025-06-02T08:25:00-07:00,2025-06-02T09:13:23.804347-07:00,2.3095693080555555,1.5029569894444443,0.806612318611111,1.8632953585836065,32.3,32.3,2025-06-02T08:30:00-07:00,31.600000000000005,68.3,47.81,51.225,AM,False,0,accepted,,speed_only,False,O4,0.6855535046343139,L405S-055,True,2025-06-02T06:54:49.354838-07:00,2025-06-02T08:25:00-07:00,2025-06-02T09:13:23.804347-07:00,2.3095693080555555,accepted,1.0,0.9283535045273116,5.746493683333333,0.0,3.63444405,10.694582150000027,1.0,1.0,0.9258014501312697,7.606108750000007,True
L405S-012,2025-06-03,L405S-012-2025-06-03-E1,2025-06-03T06:41:15.762711-07:00,2025-06-03T08:25:00-07:00,2025-06-03T09:58:31.874999-07:00,3.287808968888889,1.7289548025,1.5588541663888889,1.1091190181729134,22.5,21.2,2025-06-03T08:25:00-07:00,21.2,68.3,47.81,51.225,AM,False,0,accepted,,speed_only,True,O10,0.9378079330367366,L405S-012,True,2025-06-03T06:41:15.762711-07:00,2025-06-03T08:25:00-07:00,2025-06-03T09:58:31.874999-07:00,3.287808968888889,accepted,1.0,0.9627553747148093,2.8940678,0.0,4.453124983333334,7.347192783333361,1.0,1.0,0.9851442578721409,1.6191524666666535,True
L405S-018,2025-06-03,L405S-018-2025-06-03-E2,2025-06-03T16:18:03.802816-07:00,2025-06-03T17:15:00-07:00,2025-06-03T18:33:39.736842-07:00,2.259981673888889,0.9489436622222224,1.311038011666667,0.7238109450509911,27.500000000000004,29.9,2025-06-03T17:10:00-07:00,25.600000000000005,68.5,47.95,51.375,PM,False,0,accepted,,speed_only,True,O6,0.9096594228353412,L405S-014,True,2025-06-03T16:18:03.802816-07:00,2025-06-03T17:15:00-07:00,2025-06-03T18:33:39.736842-07:00,2.259981673888889,accepted,1.0,0.9560555704768354,3.541852116666667,0.0,3.004385966666667,5.416357783333323,1.0,1.0,0.9857515902302902,1.1588149499999956,True
L405S-028,2025-06-03,L405S-028-2025-06-03-E2,2025-06-03T15:58:23.653846-07:00,2025-06-03T16:50:00-07:00,2025-06-03T18:24:48.157894-07:00,2.440140013333333,0.8600961538888888,1.5800438594444444,0.5443495436837464,35.7,41.20000000000001,2025-06-03T16:45:00-07:00,35.5,69.1,48.36999999999999,51.825,PM,False,0,accepted,,speed_only,True,O24,0.7916085197758064,L405S-112,True,2025-06-03T15:58:23.653846-07:00,2025-06-03T16:50:00-07:00,2025-06-03T18:24:48.157894-07:00,2.440140013333333,accepted,1.0,0.893153980933768,3.595152241666667,0.0,7.005334283333334,15.6431547833333,1.0,1.0,0.9607351202041265,4.21222890000001,True
L405S-028,2025-06-04,L405S-028-2025-06-04-E2,2025-06-04T18:05:14.375000-07:00,2025-06-04T18:30:00-07:00,2025-06-04T19:41:30.234374-07:00,1.6044053816666666,0.4126736111111111,1.1917317705555557,0.3462806155773903,34.8,34.8,2025-06-04T18:35:00-07:00,34.6,69.1,48.36999999999999,51.825,PM,True,0,accepted,,speed_only,True,O26,0.6232838729082257,L405S-028,True,2025-06-04T18:05:14.375000-07:00,2025-06-04T18:30:00-07:00,2025-06-04T19:41:30.234374-07:00,1.6044053816666666,accepted,1.0,0.9305706817699061,3.5989583166666668,0.0,2.6992187666666667,7.182223166666675,1.0,1.0,0.9669338038234339,1.6494077500000093,True
L405S-115,2025-06-04,L405S-115-2025-06-04-E1,2025-06-04T06:31:34.500000-07:00,2025-06-04T08:00:00-07:00,2025-06-04T09:26:11.249999-07:00,2.9102083330555555,1.47375,1.4364583330555554,1.0259608413876646,12.0,11.300000000000002,2025-06-04T08:00:00-07:00,11.300000000000002,71.005,49.70349999999999,53.25375,AM,False,0,accepted,,speed_only,False,O23,0.9449495311947836,L405S-115,True,2025-06-04T06:31:34.500000-07:00,2025-06-04T08:00:00-07:00,2025-06-04T09:26:11.249999-07:00,2.9102083330555555,accepted,1.0,0.97600892471576,1.60110325,0.0,2.1859090833333337,3.7851207833333245,1.0,1.0,0.9904989130685088,0.6502767666666598,True
L405S-115,2025-06-05,L405S-115-2025-06-05-E1,2025-06-05T06:32:49.586065-07:00,2025-06-05T07:55:00-07:00,2025-06-05T09:11:19.295454-07:00,2.6415859413888887,1.3695594263888888,1.272026515,1.0766752188250484,11.4,11.4,2025-06-05T08:00:00-07:00,10.6,71.005,49.70349999999999,53.25375,AM,False,0,accepted,,speed_only,False,O12,0.7757524558926961,L405S-108,True,2025-06-05T06:32:49.586065-07:00,2025-06-05T07:55:00-07:00,2025-06-05T09:11:19.295454-07:00,2.6415859413888887,accepted,1.0,0.9741370497557276,1.4550204916666667,0.0,2.1951325666666666,3.8215264000000015,1.0,1.0,0.9877509943146537,0.8529161166666599,True
