variant_id,category,sample_min,enter_ratio,persistence_min,noise_sigma_mph,noise_seed,baseline_episode_id,link_id,matched,iou,variant_episode_id,delta_t0_min,delta_T2_min,delta_t3_min,delta_P_min
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-058-2025-06-03-E1,L405S-058,False,0.0,,,,,
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-058-2025-06-04-E1,L405S-058,True,0.9183840760328973,threshold_r0.65_p20:L405S-058:E1,9.416755033333335,0.0,-3.1388888833333337,-12.555643916666677
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-058-2025-06-04-E2,L405S-058,True,0.9297264584831066,threshold_r0.65_p20:L405S-058:E2,3.6142857000000004,0.0,-0.5404530666666666,-4.15473876666667
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-058-2025-06-05-E1,L405S-058,True,0.8585740369727712,threshold_r0.65_p20:L405S-058:E3,17.995215299999998,0.0,-3.4463768166666666,-21.441592116666676
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-115-2025-06-02-E1,L405S-115,True,0.9428611109644875,threshold_r0.65_p20:L405S-115:E1,1.3149073999999998,0.0,-3.1925987,-4.507506100000005
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-115-2025-06-02-E2,L405S-115,True,0.9140638216755069,threshold_r0.65_p20:L405S-115:E2,1.3654807666666666,0.0,-3.294559866666667,-4.660040633333331
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-115-2025-06-03-E1,L405S-115,True,0.9842420909513108,threshold_r0.65_p20:L405S-115:E3,1.32472015,0.0,-2.0640988333333334,-3.388818983333337
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-115-2025-06-04-E1,L405S-115,True,0.9783227387289305,threshold_r0.65_p20:L405S-115:E4,1.5992117000000001,0.0,-2.1859090833333337,-3.7851207833333245
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,L405S-115-2025-06-05-E1,L405S-115,True,0.9769699393492159,threshold_r0.65_p20:L405S-115:E5,1.4550205,0.0,-2.1951325666666666,-3.6501530666666593
threshold_r0.70_p10,threshold_persistence,5,0.7,10,0.0,,L405S-012-2025-06-02-E1,L405S-012,True,1.0,threshold_r0.70_p10:L405S-012:E1,0.0,0.0,0.0,0.0
threshold_r0.70_p10,threshold_persistence,5,0.7,10,0.0,,L405S-012-2025-06-03-E1,L405S-012,True,1.0,threshold_r0.70_p10:L405S-012:E2,0.0,0.0,0.0,0.0
threshold_r0.70_p10,threshold_persistence,5,0.7,10,0.0,,L405S-012-2025-06-03-E2,L405S-012,True,1.0,threshold_r0.70_p10:L405S-012:E3,0.0,0.0,0.0,0.0
threshold_r0.70_p10,threshold_persistence,5,0.7,10,0.0,,L405S-012-2025-06-04-E1,L405S-012,True,1.0,threshold_r0.70_p10:L405S-012:E4,0.0,0.0,0.0,2.6645352591003757e-14
threshold_r0.70_p10,threshold_persistence,5,0.7,10,0.0,,L405S-012-2025-06-05-E1,L405S-012,True,1.0,threshold_r0.70_p10:L405S-012:E5,0.0,0.0,0.0,0.0
