episode_id,link_id,t0_la,T2_la,t3_la,P_h,quality_status,deterministic_match_rate,deterministic_median_iou,deterministic_median_abs_t0_min,deterministic_median_abs_T2_min,deterministic_median_abs_t3_min,deterministic_median_abs_P_min,sampling_pass_rate,noise_match_rate,noise_median_iou,noise_median_abs_P_min,stable_speed_only_v1
L405S-030-2025-06-02-E1,L405S-030,2025-06-02T07:37:18.883928-07:00,2025-06-02T08:00:00-07:00,2025-06-02T08:21:06.240875-07:00,0.7298213741666667,accepted,1.0,0.812896239768918,2.9329631833333334,0.0,5.999469133333333,9.613684366666677,1.0,1.0,0.9211490329082985,2.794007825000003,True
L405S-030-2025-06-03-E1,L405S-030,2025-06-03T06:58:35.720338-07:00,2025-06-03T07:20:00-07:00,2025-06-03T07:47:55.540540-07:00,0.8221722783333333,accepted,1.0,0.8860428906600611,3.2356077,0.0,3.1993243333333337,6.1219938166666665,1.0,1.0,0.9500866283029117,1.578289883333337,True
L405S-030-2025-06-04-E1,L405S-030,2025-06-04T06:49:56.166666-07:00,2025-06-04T07:25:00-07:00,2025-06-04T07:46:31.889312-07:00,0.9432562905555556,accepted,0.7,0.897485210931516,3.8319444333333332,0.0,2.6326335999999997,6.464578033333332,1.0,0.9666666666666667,0.8157257879302762,9.322149099999999,False
L405S-058-2025-06-03-E1,L405S-058,2025-06-03T06:57:27.692307-07:00,2025-06-03T08:10:00-07:00,2025-06-03T09:46:09.230769-07:00,2.8115384616666668,accepted_with_flags,0.7,0.9060327063305077,4.9160839166666666,0.0,4.4983277500000005,10.440133800000009,1.0,1.0,0.9022824378277718,12.504143116666672,False
L405S-058-2025-06-04-E1,L405S-058,2025-06-04T06:59:13.043478-07:00,2025-06-04T08:20:00-07:00,2025-06-04T09:33:03.333333-07:00,2.563969404166667,accepted_with_flags,1.0,0.9411857592319479,5.845298283333333,0.0,3.1388888833333337,9.613272133333295,1.0,1.0,0.9651263541495794,3.2093446916666357,False
L405S-058-2025-06-04-E2,L405S-058,2025-06-04T22:58:23.142857-07:00,2025-06-04T23:50:00-07:00,2025-06-04T23:57:30.485436-07:00,0.9853729386111112,accepted,1.0,0.9412835673110458,2.638376383333333,0.0,0.540453075,2.92616736666667,1.0,1.0,0.9805229415300509,1.0194955249999937,True
L405S-058-2025-06-05-E1,L405S-058,2025-06-05T07:05:38.181818-07:00,2025-06-05T08:35:00-07:00,2025-06-05T09:37:14.782608-07:00,2.526833552777778,accepted_with_flags,1.0,0.9207085820769949,10.636363633333334,0.0,2.42028985,13.056653483333314,1.0,1.0,0.957314358528115,6.1631518333333535,False
L405S-115-2025-06-02-E1,L405S-115,2025-06-02T06:36:11.033333-07:00,2025-06-02T07:30:00-07:00,2025-06-02T07:55:04.243421-07:00,1.31478058,accepted,1.0,0.9421193341507399,1.3149073999999998,0.0,3.1925987,4.507506100000005,1.0,1.0,0.9755029232054193,1.2060791583333286,True
L405S-115-2025-06-02-E2,L405S-115,2025-06-02T08:17:39.150000-07:00,2025-06-02T08:50:00-07:00,2025-06-02T09:11:52.755681-07:00,0.9037793558333332,accepted,0.9,0.9140638216755069,1.3654807666666666,0.0,3.294559866666667,4.660040633333331,1.0,0.9666666666666667,0.9639088358135234,1.1066234833333266,True
L405S-115-2025-06-03-E1,L405S-115,2025-06-03T06:23:34.847014-07:00,2025-06-03T08:00:00-07:00,2025-06-03T09:58:38.154069-07:00,3.584251959722222,accepted_with_flags,1.0,0.9830588975496279,1.32472015,0.0,2.1173207333333335,3.388818983333337,1.0,1.0,0.9944095709451888,0.7762292000000004,False
L405S-115-2025-06-04-E1,L405S-115,2025-06-04T06:31:34.500000-07:00,2025-06-04T08:00:00-07:00,2025-06-04T09:26:11.249999-07:00,2.9102083330555555,accepted,1.0,0.97600892471576,1.60110325,0.0,2.1859090833333337,3.7851207833333245,1.0,1.0,0.9904989130685088,0.6502767666666598,True
L405S-115-2025-06-05-E1,L405S-115,2025-06-05T06:32:49.586065-07:00,2025-06-05T07:55:00-07:00,2025-06-05T09:11:19.295454-07:00,2.6415859413888887,accepted,1.0,0.9741370497557276,1.4550204916666667,0.0,2.1951325666666666,3.8215264000000015,1.0,1.0,0.9877509943146537,0.8529161166666599,True
