canonical_episode_id,link_id,canonical_t0_clock_la,canonical_T2_clock_la,canonical_t3_clock_la,canonical_P_h,matched_weekdays,weekday_recurrence_rate,median_daily_iou,median_daily_P_h,median_abs_delta_t0_min,median_abs_delta_T2_min,median_abs_delta_t3_min
L405S-012-AVG-E1,L405S-012,07:05,08:25,09:33,2.453918229166667,4,0.8,0.8501489600560678,2.6151229466666663,9.681971833333334,2.5,14.395380433333333
L405S-018-AVG-E1,L405S-018,17:15,17:30,17:49,0.5682414213888889,4,0.8,0.6175324973887693,0.5167806155555555,5.6038603,7.5,8.5123194
L405S-115-AVG-E1,L405S-115,06:34,07:35,09:30,2.9191772874999997,4,0.8,0.850996942081653,2.775897137222222,2.3044444416666665,22.5,23.657155124999996
