time_of_day,speed_mph,period,flow_speed_only_vehph,flow_ref_vehph,flow_ref_source,volume_anchor_factor,lambda_ref_vehph,lambda_ref_source,mu_ref_vehph,queue_start_veh,queue_end_veh,realized_departure_vehph,cumulative_arrivals_veh,cumulative_departures_veh,waiting_time_min,travel_time_min,net_flow_ref_vehph,link_id,tmc_id,dt_minutes,initial_queue_veh
15:00,38.156,PM,5494.684662087414,2436.090410896761,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2436.090410896761,speed_to_volume_proxy,1705.801188287569,0.0,60.85743521743268,1705.8011882875687,203.00753424139674,142.15009902396406,5.0,5.295238095238095,730.2892226091922,26736,110N04169,5,0
15:05,38.136,PM,5493.857345652867,2435.7236168481627,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2435.7236168481627,speed_to_volume_proxy,1705.801188287569,60.85743521743268,121.6843042641488,1705.8011882875687,405.984502312077,284.3001980479281,5.0,5.295238095238095,729.9224285605937,26736,110N04169,5,0
15:10,38.065,PM,5490.908970814624,2434.416443076985,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2434.416443076985,speed_to_volume_proxy,1705.801188287569,121.6843042641488,182.40224216326686,1705.8011882875687,608.852539235159,426.4502970718922,10.0,10.295238095238096,728.6152547894162,26736,110N04169,5,0
15:15,37.933,PM,5485.38033052092,2431.965298301068,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2431.965298301068,speed_to_volume_proxy,1705.801188287569,182.40224216326686,242.9159179977251,1705.8011882875687,811.5163140935813,568.6003960958562,10.0,10.295238095238096,726.1641100134989,26736,110N04169,5,0
15:20,37.727,PM,5476.6303873936795,2428.085976036182,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2428.085976036182,speed_to_volume_proxy,1705.801188287569,242.9159179977251,303.1063169767762,1705.8011882875687,1013.8568120965964,710.7504951198202,15.0,15.295238095238096,722.2847877486129,26736,110N04169,5,0
15:25,37.433,PM,5463.88717214849,2422.4362206140013,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2422.4362206140013,speed_to_volume_proxy,1705.801188287569,303.1063169767762,362.8259030039789,1705.8011882875687,1215.7264971477632,852.9005941437842,15.0,15.295238095238096,716.6350323264323,26736,110N04169,5,0
15:30,37.041,PM,5446.433796171903,2414.698196601867,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2414.698196601867,speed_to_volume_proxy,1705.801188287569,362.8259030039789,421.9006536968371,1705.8011882875687,1416.9513468645855,995.0506931677482,15.0,15.295238095238096,708.8970083142981,26736,110N04169,5,0
15:35,36.536,PM,5423.180584778111,2404.3887923716607,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2404.3887923716607,speed_to_volume_proxy,1705.801188287569,421.9006536968371,480.11628737051143,1705.8011882875687,1617.3170795622239,1137.2007921917123,20.0,20.295238095238094,698.5876040840917,26736,110N04169,5,0
15:40,35.907,PM,5393.026717129217,2391.0199546041786,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2391.0199546041786,speed_to_volume_proxy,1705.801188287569,480.11628737051143,537.2178512302289,1705.8011882875687,1816.5687424459054,1279.3508912156763,20.0,20.295238095238094,685.2187663166096,26736,110N04169,5,0
15:45,35.142,PM,5354.6052909085465,2373.9856616928914,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2373.9856616928914,speed_to_volume_proxy,1705.801188287569,537.2178512302289,592.8998906806726,1705.8011882875687,2014.400880920313,1421.5009902396403,24.999999999999996,25.29523809523809,668.1844734053225,26736,110N04169,5,0
