link_id,tmc_id,time_of_day,period,dt_minutes,lambda_ref_vehph,mu_ref_vehph,flow_ref_vehph,speed_mph,queue_start_veh,queue_end_veh,waiting_time_min,travel_time_min,cumulative_arrivals_veh,cumulative_departures_veh,flow_ref_source,lambda_ref_source
26736,110N04169,15:00,PM,5,2436.090410896761,1705.801188287569,2436.090410896761,38.156,0.0,60.85743521743268,5.0,5.295238095238095,203.00753424139674,142.15009902396406,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:05,PM,5,2435.7236168481627,1705.801188287569,2435.7236168481627,38.136,60.85743521743268,121.6843042641488,5.0,5.295238095238095,405.984502312077,284.3001980479281,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:10,PM,5,2434.416443076985,1705.801188287569,2434.416443076985,38.065,121.6843042641488,182.40224216326686,10.0,10.295238095238096,608.852539235159,426.4502970718922,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:15,PM,5,2431.965298301068,1705.801188287569,2431.965298301068,37.933,182.40224216326686,242.9159179977251,10.0,10.295238095238096,811.5163140935813,568.6003960958562,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:20,PM,5,2428.085976036182,1705.801188287569,2428.085976036182,37.727,242.9159179977251,303.1063169767762,15.0,15.295238095238096,1013.8568120965964,710.7504951198202,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:25,PM,5,2422.4362206140013,1705.801188287569,2422.4362206140013,37.433,303.1063169767762,362.8259030039789,15.0,15.295238095238096,1215.7264971477632,852.9005941437842,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:30,PM,5,2414.698196601867,1705.801188287569,2414.698196601867,37.041,362.8259030039789,421.9006536968371,15.0,15.295238095238096,1416.9513468645855,995.0506931677482,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:35,PM,5,2404.3887923716607,1705.801188287569,2404.3887923716607,36.536,421.9006536968371,480.11628737051143,20.0,20.295238095238094,1617.3170795622239,1137.2007921917123,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:40,PM,5,2391.0199546041786,1705.801188287569,2391.0199546041786,35.907,480.11628737051143,537.2178512302289,20.0,20.295238095238094,1816.5687424459054,1279.3508912156763,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:45,PM,5,2373.9856616928914,1705.801188287569,2373.9856616928914,35.142,537.2178512302289,592.8998906806726,24.999999999999996,25.29523809523809,2014.400880920313,1421.5009902396403,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:50,PM,5,2352.540947872536,1705.801188287569,2352.540947872536,34.228,592.8998906806726,646.7948706460866,24.999999999999996,25.29523809523809,2210.445959909691,1563.6510892636043,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,15:55,PM,5,2325.8027023615896,1705.801188287569,2325.8027023615896,33.152,646.7948706460866,698.4616634855884,24.999999999999996,25.29523809523809,2404.2628517731564,1705.8011882875683,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:00,PM,5,2292.7551614081503,1705.801188287569,2292.7551614081503,31.902,698.4616634855884,747.3744945789701,30.0,30.295238095238094,2595.325781890502,1847.9512873115323,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:05,PM,5,2252.203438902908,1705.801188287569,2252.203438902908,30.466,747.3744945789701,792.9080154635817,30.0,30.295238095238094,2783.0094017990778,1990.1013863354963,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:10,PM,5,2202.6770032975496,1705.801188287569,2202.6770032975496,28.83,792.9080154635817,834.3143333810801,30.0,30.295238095238094,2966.56581874054,2132.2514853594603,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:15,PM,5,2146.1655798261713,1705.801188287569,2146.1655798261713,27.091,834.3143333810801,871.011366009297,34.99999999999999,35.29523809523809,3145.412950392721,2274.4015843834245,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:20,PM,5,2089.9137262169666,1705.801188287569,2089.9137262169666,25.471,871.011366009297,903.0207441700802,34.99999999999999,35.29523809523809,3319.5724275774683,2416.5516834073887,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:25,PM,5,2034.7853704542465,1705.801188287569,2034.7853704542465,23.974,903.0207441700802,930.4360926839702,34.99999999999999,35.29523809523809,3489.137875115322,2558.701782431353,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:30,PM,5,1981.5338105933592,1705.801188287569,1981.5338105933592,22.602,930.4360926839702,953.4138112094527,34.99999999999999,35.29523809523809,3654.2656926647687,2700.851881455317,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:35,PM,5,1930.7111423795936,1705.801188287569,1930.7111423795936,21.353,953.4138112094527,972.1563073837881,34.99999999999999,35.29523809523809,3815.1582878630684,2843.0019804792814,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:40,PM,5,1882.6417204975742,1705.801188287569,1882.6417204975742,20.221,972.1563073837881,986.8930184012886,34.99999999999999,35.29523809523809,3972.0450979045327,2985.1520795032457,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:45,PM,5,1837.667138429543,1705.801188287569,1837.667138429543,19.202,986.8930184012886,997.8818475797864,40.0,40.2952380952381,4125.184026106995,3127.30217852721,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:50,PM,5,1795.9373417509823,1705.801188287569,1795.9373417509823,18.289,997.8818475797864,1005.3931937017376,40.0,40.2952380952381,4274.84547125291,3269.452277551174,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,16:55,PM,5,1757.5846607378055,1705.801188287569,1757.5846607378055,17.476,1005.3931937017376,1009.7084830725908,40.0,40.2952380952381,4421.310859647727,3411.6023765751384,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:00,PM,5,1722.5879063423586,1705.801188287569,1722.5879063423586,16.755,1009.7084830725908,1011.1073762438234,40.0,40.2952380952381,4564.8598518429235,3553.7524755991026,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:05,PM,5,1691.0658589199702,1705.801188287569,1691.0658589199702,16.122,1011.1073762438234,1009.8794321298569,40.0,40.2952380952381,4705.782006752921,3695.902574623067,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:10,PM,5,1662.9949932888806,1705.801188287569,1662.9949932888806,15.571,1009.8794321298569,1006.3122492132995,40.0,40.2952380952381,4844.364922860328,3838.052673647031,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:15,PM,5,1638.4623773715334,1705.801188287569,1638.4623773715334,15.099,1006.3122492132995,1000.7006816369633,40.0,40.2952380952381,4980.903454307956,3980.2027726709953,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
