link_id,corridor,tmc_code,t_min,anchor_period,lanes,length_mi,free_speed_mph,cutoff_mph,mu_vph,lambda_anchored_vph,outflow_vph,queue_model_veh,queue_meas_veh,delay_h,travel_time_h,speed_mph,speed_model_mph,lambda_identifiable,model_episode_id
25785,I66_WB,110P04171,840,MD,4,0.49,65.0,45.5,8000.0,0.0,0.0,0.0,0.0,0.0,0.007538461538461538,55.47739130434783,65.0,False,
25785,I66_WB,110P04171,855,MD,4,0.49,65.0,45.5,8000.0,0.0,0.0,0.0,0.0,0.0,0.007538461538461538,55.625652173913046,65.0,False,
25785,I66_WB,110P04171,870,MD,4,0.49,65.0,45.5,8000.0,0.0,0.0,0.0,0.0,0.0,0.007538461538461538,54.6904347826087,65.0,False,
25785,I66_WB,110P04171,885,MD,4,0.49,65.0,45.5,8000.0,0.0,0.0,0.0,0.0,0.0,0.007538461538461538,54.52173913043478,65.0,False,
25785,I66_WB,110P04171,900,PM,4,0.49,65.0,45.5,8000.0,3930.088324333332,3930.088324333332,0.0,0.0,0.0,0.007538461538461538,55.23130434782608,65.0,False,
25785,I66_WB,110P04171,915,PM,4,0.49,65.0,45.5,8000.0,3526.7294673123406,3526.7294673123406,0.0,0.0,0.0,0.007538461538461538,59.79260869565218,65.0,False,
25785,I66_WB,110P04171,930,PM,4,0.49,65.0,45.5,8000.0,3258.505830590546,3258.505830590546,0.0,0.0,0.0,0.007538461538461538,61.45478260869565,65.0,False,
25785,I66_WB,110P04171,945,PM,4,0.49,65.0,45.5,8000.0,3379.6686182521453,3379.6686182521453,0.0,0.0,0.0,0.007538461538461538,60.78391304347826,65.0,False,
25785,I66_WB,110P04171,960,PM,4,0.49,65.0,45.5,8000.0,3146.878694904365,3146.878694904365,0.0,0.0,0.0,0.007538461538461538,61.98086956521739,65.0,False,
25785,I66_WB,110P04171,975,PM,4,0.49,65.0,45.5,8000.0,3409.9323822061674,3409.9323822061674,0.0,0.0,0.0,0.007538461538461538,60.59739130434782,65.0,False,
25785,I66_WB,110P04171,990,PM,4,0.49,65.0,45.5,8000.0,3276.1741635556823,3276.1741635556823,0.0,0.0,0.0,0.007538461538461538,61.363913043478256,65.0,False,
25785,I66_WB,110P04171,1005,PM,4,0.49,65.0,45.5,8000.0,3310.817270631212,3310.817270631212,0.0,0.0,0.0,0.007538461538461538,61.17913043478261,65.0,False,
25785,I66_WB,110P04171,1020,PM,4,0.49,65.0,45.5,8000.0,3277.0922119411903,3277.0922119411903,0.0,0.0,0.0,0.007538461538461538,61.35913043478261,65.0,False,
25785,I66_WB,110P04171,1035,PM,4,0.49,65.0,45.5,8000.0,3402.717862904491,3402.717862904491,0.0,0.0,0.0,0.007538461538461538,60.64260869565217,65.0,False,
25785,I66_WB,110P04171,1050,PM,4,0.49,65.0,45.5,8000.0,3453.612036007956,3453.612036007956,0.0,0.0,0.0,0.007538461538461538,60.31304347826087,65.0,False,
25785,I66_WB,110P04171,1065,PM,4,0.49,65.0,45.5,8000.0,3389.905861655272,3389.905861655272,0.0,0.0,0.0,0.007538461538461538,60.72173913043478,65.0,False,
25785,I66_WB,110P04171,1080,PM,4,0.49,65.0,45.5,8000.0,3179.222676118685,3179.222676118685,0.0,0.0,0.0,0.007538461538461538,61.83652173913043,65.0,False,
25785,I66_WB,110P04171,1095,PM,4,0.49,65.0,45.5,8000.0,3300.397455565357,3300.397455565357,0.0,0.0,0.0,0.007538461538461538,61.235652173913046,65.0,False,
25785,I66_WB,110P04171,1110,PM,4,0.49,65.0,45.5,8000.0,3174.344591445709,3174.344591445709,0.0,0.0,0.0,0.007538461538461538,61.85869565217392,65.0,False,
25785,I66_WB,110P04171,1125,PM,4,0.49,65.0,45.5,8000.0,3274.334552575549,3274.334552575549,0.0,0.0,0.0,0.007538461538461538,61.37347826086956,65.0,False,
25946,I66_WB,110+04164,360,AM,3,0.29,53.4065,37.38455,5700.0,1565.479462139227,1565.479462139227,0.0,0.0,0.0,0.0054300506492655385,49.22434782608696,53.4065,False,
25946,I66_WB,110+04164,375,AM,3,0.29,53.4065,37.38455,5700.0,1415.3194528323463,1415.3194528323463,0.0,0.0,0.0,0.0054300506492655385,50.82608695652174,53.4065,False,
25946,I66_WB,110+04164,390,AM,3,0.29,53.4065,37.38455,5700.0,1576.532313089257,1576.532313089257,0.0,0.0,0.0,0.0054300506492655385,49.07173913043479,53.4065,False,
25946,I66_WB,110+04164,405,AM,3,0.29,53.4065,37.38455,5700.0,1621.0342203462135,1621.0342203462135,0.0,0.0,0.0,0.0054300506492655385,48.39043478260869,53.4065,False,
25946,I66_WB,110+04164,420,AM,3,0.29,53.4065,37.38455,5700.0,1664.4857358149125,1664.4857358149125,0.0,0.0,0.0,0.0054300506492655385,47.598260869565216,53.4065,False,
25946,I66_WB,110+04164,435,AM,3,0.29,53.4065,37.38455,5700.0,1650.5781585698603,1650.5781585698603,0.0,0.0,0.0,0.0054300506492655385,47.867826086956526,53.4065,False,
25946,I66_WB,110+04164,450,AM,3,0.29,53.4065,37.38455,5700.0,1674.3559923728078,1674.3559923728078,0.0,0.0,0.0,0.0054300506492655385,47.39652173913043,53.4065,False,
25946,I66_WB,110+04164,465,AM,3,0.29,53.4065,37.38455,5700.0,1612.1053099621342,1612.1053099621342,0.0,0.0,0.0,0.0054300506492655385,48.53652173913043,53.4065,False,
25946,I66_WB,110+04164,480,AM,3,0.29,53.4065,37.38455,5700.0,1591.3775561992295,1591.3775561992295,0.0,0.0,0.0,0.0054300506492655385,48.85695652173913,53.4065,False,
25946,I66_WB,110+04164,495,AM,3,0.29,53.4065,37.38455,5700.0,1551.324694005334,1551.324694005334,0.0,0.0,0.0,0.0054300506492655385,49.41130434782609,53.4065,False,
25946,I66_WB,110+04164,510,AM,3,0.29,53.4065,37.38455,5700.0,1612.5376208253667,1612.5376208253667,0.0,0.0,0.0,0.0054300506492655385,48.52956521739131,53.4065,False,
25946,I66_WB,110+04164,525,AM,3,0.29,53.4065,37.38455,5700.0,1625.7938838433124,1625.7938838433124,0.0,0.0,0.0,0.0054300506492655385,48.3104347826087,53.4065,False,
