corridor,tmc_code,n,p85,p95,p99,observed_max,inrix_reference,night_median,corridor_p95,assignment_model,p95_over_observed_max,assignment_over_observed_max
I395_SB,110N04130,2207,51.031,53.67099999999999,56.627,61.7,49.0,51.015,64.77,63.0,0.8698703403565639,1.0210696920583469
I395_SB,110N04670,2208,57.9695,59.273,60.82299999999998,63.59,56.0,54.635000000000005,64.77,63.0,0.9321119672904544,0.9907218116055984
I66_EB,110+58626,2208,72.0,72.79,74.19,75.59,72.0,72.0,71.0,75.0,0.9629580632358778,0.9921947347532742
I66_EB,110+58627,2208,72.65,73.0,74.26299999999998,75.31,73.0,72.33,71.0,75.0,0.9693267826317886,0.9958836807860841
I66_EB,110+58628,2208,71.72,72.3065,73.7865,75.2,72.0,71.065,71.0,69.0,0.9615226063829787,0.9175531914893617
I66_EB,110+58629,2208,71.23949999999999,72.0,73.38089999999998,75.0,72.0,69.76,71.0,69.0,0.96,0.92
I66_EB,110+58630,2208,70.20949999999999,71.1965,72.59,75.0,70.0,67.715,71.0,66.0,0.9492866666666667,0.88
I66_EB,110+58631,2208,71.72,72.45649999999999,73.96929999999999,75.6,72.0,69.815,71.0,63.0,0.9584193121693121,0.8333333333333334
I66_EB,110+58632,2208,71.77,72.52,74.32929999999999,76.0,72.0,69.815,71.0,63.0,0.9542105263157894,0.8289473684210527
I66_EB,110+58633,2208,69.70949999999999,71.0,73.36459999999995,75.46,69.0,68.205,71.0,69.0,0.9408958388550226,0.9143917307182614
I66_EB,110+58634,2208,70.06,71.31,73.71369999999999,75.46,70.0,69.125,71.0,63.0,0.9450039756162206,0.8348794063079779
I66_EB,110+58635,2208,68.8,70.1265,72.23649999999999,74.73,69.0,67.39,71.0,63.0,0.9383982336411079,0.8430349257326375
I66_EB,110+58636,2208,65.49,67.763,70.1193,75.0,65.0,62.595,71.0,69.0,0.9035066666666668,0.92
I66_EB,110-04163,2208,53.26,55.8765,58.248599999999996,61.34,50.0,50.13,71.0,63.0,0.9109308770785783,1.0270622758395827
I66_EB,110-04164,2208,60.48,62.46,64.2179,67.95,56.0,54.724999999999994,71.0,75.0,0.919205298013245,1.1037527593818983
I66_EB,110-04165,2208,61.869499999999995,63.636500000000005,65.31649999999999,67.16,59.0,57.175,71.0,75.0,0.9475357355568792,1.1167361524717094
I66_EB,110-04166,2208,62.959,64.94,66.4179,67.49,61.0,60.775000000000006,71.0,75.0,0.9622166246851386,1.111275744554749
I66_EB,110-04168,2208,64.23,65.62,66.9093,69.11,62.0,61.894999999999996,71.0,75.0,0.9495007958327305,1.0852264505860223
I66_EB,110-04172,2208,64.54,66.24,67.3679,70.37,62.0,61.879999999999995,71.0,75.0,0.9413102174221968,1.0657950831320164
I66_EB,110-04173,2208,65.609,67.736,69.3686,71.05,62.0,62.224999999999994,71.0,75.0,0.9533567909922591,1.055594651653765
I66_EB,110-04174,2208,66.31949999999999,67.8565,69.29299999999998,71.48,63.0,63.0,71.0,75.0,0.9493074986010072,1.0492445439283715
I66_EB,110-04175,2208,63.4895,65.56649999999999,67.34229999999998,69.78,59.0,62.345,71.0,75.0,0.9396173688736026,1.0748065348237317
I66_EB,110-04176,2208,64.4985,66.8765,69.1137,71.12,61.0,63.28,71.0,75.0,0.9403332395950504,1.0545556805399325
I66_EB,110-04177,2208,66.3,68.083,70.04089999999998,71.59,63.0,65.19,71.0,63.0,0.9510127112725241,0.8800111747450761
I66_EB,110-04178,2208,64.789,66.81649999999999,68.96,70.45,62.0,63.575,71.0,69.0,0.9484244144783532,0.9794180269694819
I66_EB,110-04180,2208,66.32,67.92,69.57719999999999,71.96,64.0,63.599999999999994,71.0,63.0,0.943857698721512,0.8754863813229573
I66_EB,110-04181,2208,63.63,65.59649999999999,67.8086,70.32,61.0,62.6,71.0,63.0,0.9328284982935153,0.8959044368600684
I66_EB,110-04182,2208,62.729499999999994,64.7955,67.08809999999997,69.25,61.0,61.525,71.0,75.0,0.9356750902527077,1.0830324909747293
I66_EB,110-04183,2208,67.5295,69.369,70.79,72.86,65.0,65.82,71.0,75.0,0.9520861926983255,1.0293713972001097
I66_EB,110-04184,2208,68.11,69.71,70.9286,72.59,66.0,66.375,71.0,75.0,0.960325113652018,1.0332001653120264
I66_EB,110-04185,2208,66.8995,68.59,70.23509999999999,72.53,64.0,65.455,71.0,75.0,0.9456776506273267,1.0340548738453055
I66_EB,110-04186,2208,69.36,70.46,71.3765,73.26,67.0,66.78,71.0,75.0,0.9617799617799616,1.0237510237510237
I66_EB,110N04162,2208,51.72,54.3095,56.65369999999998,60.46,52.0,48.455,71.0,63.0,0.89827158451869,1.0420112471055243
I66_EB,110N04164,2208,56.89,59.106500000000004,61.24579999999999,65.99,56.0,52.75,71.0,75.0,0.8956887407182907,1.136535838763449
I66_EB,110N04165,2208,59.22,61.37,63.1093,67.38,56.0,53.724999999999994,71.0,75.0,0.910804392994954,1.1130899376669636
I66_EB,110N04166,2208,62.789,64.6765,66.31859999999999,72.32,59.0,59.365,71.0,75.0,0.8943100110619471,1.0370575221238938
I66_EB,110N04167,2208,62.549499999999995,64.476,65.9093,70.73,61.0,60.0,71.0,75.0,0.911579245016259,1.0603704227343418
I66_EB,110N04168,2208,63.05,64.89,66.18,68.7,61.0,60.45,71.0,75.0,0.9445414847161572,1.0917030567685588
I66_EB,110N04169,2208,65.27,66.7765,67.97,71.04,64.0,62.41,71.0,75.0,0.9399845157657657,1.0557432432432432
I66_EB,110N04170,2208,66.1695,67.56649999999999,68.8993,71.77,64.0,61.870000000000005,71.0,75.0,0.9414309600111467,1.0450048766894247
I66_EB,110N04171,2208,66.1295,67.69,69.09859999999999,71.23,64.0,63.254999999999995,71.0,75.0,0.9503018391127334,1.052927137442089
I66_EB,110N04173,2208,65.12,67.39,68.97579999999999,71.0,62.0,62.015,71.0,75.0,0.9491549295774648,1.056338028169014
I66_EB,110N04174,2208,67.11,68.4795,69.5893,71.24,65.0,63.84,71.0,75.0,0.9612507018528917,1.0527793374508703
I66_EB,110N04175,2208,62.12,64.583,66.3993,69.52,60.0,59.86,71.0,75.0,0.9289844649021864,1.0788262370540853
I66_EB,110N04176,2208,65.31949999999999,67.19,68.8879,71.06,62.0,64.35,71.0,75.0,0.9455389811426963,1.0554461018857304
I66_EB,110N04178,2208,66.89,68.72,70.2379,71.38,64.0,65.255,71.0,63.0,0.9627346595685067,0.8826001681143177
I66_EB,110N04179,2208,66.51,68.35300000000001,69.93719999999999,70.6,63.0,64.32,71.0,63.0,0.9681728045325781,0.8923512747875355
I66_EB,110N04180,2208,66.6195,68.533,69.97579999999999,71.47,65.0,63.775,71.0,63.0,0.9589058346159228,0.881488736532811
I66_EB,110N04181,2208,65.5195,67.0865,68.91439999999999,71.12,63.0,62.91,71.0,63.0,0.9432859955005624,0.8858267716535433
I66_EB,110N04182,2208,64.45,66.45,68.7786,70.59,63.0,62.055,71.0,75.0,0.9413514662133446,1.062473438164046
I66_EB,110N04183,2208,64.77,67.1665,68.98,72.11,62.0,63.345,71.0,75.0,0.9314450145610872,1.0400776591318819
I66_EB,110N04184,2208,68.5295,70.1795,71.6365,74.19,66.0,66.255,71.0,75.0,0.9459428494406255,1.0109179134654267
I66_EB,110N04185,2208,69.4395,70.38,71.52579999999999,72.73,68.0,66.64500000000001,71.0,75.0,0.9676887116733122,1.0312113295751408
I66_EB,110N04186,2208,68.86,69.86,70.70859999999999,72.01,67.0,66.0,71.0,75.0,0.9701430356894875,1.0415220108318288
I66_EB,110N04187,2208,71.19,72.2465,73.37859999999999,75.43,70.0,67.87,71.0,75.0,0.957795306907066,0.994299350391091
I66_EB,110P58625,2208,72.0,72.32,73.52,75.0,72.0,71.44999999999999,71.0,69.0,0.9642666666666666,0.92
I66_EB,110P58626,2208,72.73,74.0,74.13,76.0,74.0,72.935,71.0,75.0,0.9736842105263158,0.9868421052631579
I66_EB,110P58629,2208,71.0,71.79,73.10579999999999,75.46,71.0,70.0,71.0,63.0,0.9513649615690434,0.8348794063079779
I66_EB,110P58636,2208,67.12,68.766,70.59,75.0,66.0,63.935,71.0,69.0,0.91688,0.92
I66_WB,110+04164,2208,51.92,53.4065,55.61719999999999,63.52,47.0,47.54,70.93,63.0,0.8407824307304785,0.9918136020151133
I66_WB,110+04165,2208,56.43,58.0865,60.58509999999999,62.53,53.0,50.855000000000004,70.93,75.0,0.9289381097073405,1.1994242763473533
I66_WB,110+04166,2208,60.3,61.7,63.8593,68.23,59.0,55.11,70.93,75.0,0.9042942986955884,1.0992232155943134
I66_WB,110+04167,2208,61.86,63.6565,65.99719999999999,69.44,61.0,59.995000000000005,70.93,75.0,0.9167122695852535,1.080069124423963
I66_WB,110+04169,2208,63.34,65.173,66.97089999999999,72.06,62.0,60.99,70.93,75.0,0.9044268665001388,1.0407993338884263
I66_WB,110+04173,2208,63.83,65.1795,67.1165,69.44,62.0,61.504999999999995,70.93,75.0,0.9386448732718895,1.080069124423963
I66_WB,110+04174,2208,63.369499999999995,64.99300000000001,66.78439999999999,71.04,63.0,59.365,70.93,75.0,0.9148789414414414,1.0557432432432432
I66_WB,110+04175,2208,64.36,65.6665,67.3972,72.13,63.0,61.215,70.93,75.0,0.9103909607652849,1.0397892693747401
I66_WB,110+04176,2208,66.6895,68.1365,69.32929999999999,70.32,64.0,65.595,70.93,75.0,0.9689490898748578,1.066552901023891
I66_WB,110+04178,2208,66.33,67.7165,69.1565,70.58,63.0,65.32499999999999,70.93,63.0,0.9594290167186171,0.8926041371493341
I66_WB,110+04179,2208,65.2295,66.71,68.15719999999999,70.58,62.0,64.185,70.93,69.0,0.9451686030036837,0.9776140549730802
I66_WB,110+04180,2208,66.16,67.7765,69.1172,71.77,64.0,64.11,70.93,63.0,0.9443569736658771,0.8778040964191167
I66_WB,110+04181,2208,67.44,68.8665,70.1193,71.87,64.0,65.06,70.93,63.0,0.9582092667315987,0.8765827187978293
I66_WB,110+04182,2208,66.25,67.62,69.09719999999999,70.92,64.0,64.745,70.93,69.0,0.9534686971235194,0.9729272419627749
I66_WB,110+04183,2208,66.11,67.77,69.6458,73.33,63.0,63.92,70.93,75.0,0.9241783717441702,1.0227737624437474
I66_WB,110+04184,2208,67.56,68.98,70.19,72.32,65.0,65.68,70.93,75.0,0.9538163716814161,1.0370575221238938
I66_WB,110+04185,2208,67.86,69.4265,70.46,72.16,65.0,65.73,70.93,75.0,0.9621189024390245,1.0393569844789357
I66_WB,110+04186,2208,65.58,67.5165,69.2593,72.05,62.0,63.53,70.93,75.0,0.9370784177654407,1.040943789035392
I66_WB,110+04187,2208,68.65,69.42,70.42790000000001,71.64,67.0,65.1,70.93,75.0,0.9690117252931324,1.0469011725293131
I66_WB,110-58625,2208,71.0,71.6795,73.4486,76.19,71.0,70.78999999999999,70.93,75.0,0.9407993174957344,0.9843811523822025
I66_WB,110-58626,2208,72.0,73.0,73.7579,75.8,73.0,69.82499999999999,70.93,75.0,0.9630606860158312,0.9894459102902375
I66_WB,110-58627,2208,71.13,72.26,73.5993,75.46,71.0,69.0,70.93,69.0,0.9575934269811822,0.9143917307182614
I66_WB,110-58628,2208,71.46,72.5265,73.78089999999999,75.0,72.0,69.64,70.93,69.0,0.96702,0.92
I66_WB,110-58629,2208,70.93,71.46,72.58579999999999,73.46,71.0,69.44999999999999,70.93,69.0,0.9727742989381977,0.9392866866321808
I66_WB,110-58630,2208,71.72,72.53,73.66,75.0,72.0,70.0,70.93,75.0,0.9670666666666666,1.0
