link_id,corridor,tmc_code,lanes,queue_peak_model_veh,queue_peak_meas_veh,peak_ratio,queue_at_AM_MD_boundary_veh,queue_at_MD_PM_boundary_veh,end_of_run_queue_veh,storage_veh,peak_over_storage,bins_over_storage,bins_at_capacity,unmet_demand_veh,residual_rmse_veh,residual_rmse_in_episode_veh,has_queue
25785,I66_WB,110P04171,4,0.0,0.0,,0.0,0.0,0.0,392.0,0.0,0,0,0.0,0.0,,False
25946,I66_WB,110+04164,3,0.0,0.0,,0.0,0.0,0.0,173.99999999999997,0.0,0,0,0.0,0.0,,False
25947,I66_EB,110N04162,2,0.0,0.0,,0.0,0.0,0.0,72.0,0.0,0,0,0.0,0.0,,False
25966,I66_WB,110+04166,2,11.832209944230044,11.320885524107307,1.045166468562366,0.0,1.8439786498066724,0.0,52.0,0.22754249892750084,0,3,11.832209944230044,0.5529625282800714,1.9937347491240036,True
25972,I66_WB,110+04165,2,0.0,0.0,,0.0,0.0,0.0,104.0,0.0,0,0,0.0,0.0,,False
26055,I66_WB,110P04167,2,63.339694914682696,60.9481113955299,1.0392396657483336,19.636137630552867,0.0,0.0,316.0,0.20044207251481866,0,5,63.339694914682696,5.042142492166912,14.843665581589498,True
26101,I66_WB,110P04168,3,27.641865171171276,27.05091465059928,1.0218458609701355,15.766265258591147,0.0,0.0,114.0,0.24247250150150243,0,7,27.641865171171276,1.412812946238822,3.6019803909641337,True
26177,I66_WB,110P04170,3,0.0,0.0,,0.0,0.0,0.0,294.0,0.0,0,0,0.0,0.0,,False
26269,I395_NB,110P04127,3,0.0,0.0,,0.0,0.0,0.0,126.0,0.0,0,12,0.0,0.0,,False
26271,I395_NB,110P04127,3,0.0,0.0,,0.0,0.0,0.0,78.0,0.0,0,12,0.0,0.0,,False
26274,I395_NB,110+04670,3,0.0,0.0,,0.0,0.0,0.0,180.0,0.0,0,0,0.0,0.0,,False
26297,I395_NB,110P04128,3,31.100025371578113,36.45451211445384,0.8531186831944261,21.416280821551936,14.679913128538601,15.207313426727069,102.0,0.30490220952527564,0,30,61.97356173612775,2.471158064639498,3.2533449825864436,True
26299,I66_WB,110P04166,3,4.9723013072512,11.521737209631365,0.43155829861270445,0.0,0.0,0.0,30.0,0.16574337690837335,0,6,9.192992905905157,2.2511395076172067,5.133309947389166,True
26304,I66_WB,110P04164,2,0.0,0.0,,0.0,0.0,0.0,72.0,0.0,0,0,0.0,0.0,,False
26313,I66_WB,110P04162,2,0.0,0.0,,0.0,0.0,0.0,72.0,0.0,0,0,0.0,0.0,,False
26354,I66_WB,110P04165,2,0.0,0.0,,0.0,0.0,0.0,220.00000000000003,0.0,0,0,0.0,0.0,,False
26359,I66_WB,110+04167,3,112.50310736762731,112.10518032282442,1.0035495865905304,0.0,28.853734861541852,0.0,480.0,0.23438147368255688,0,10,170.82253290409062,10.9621320941804,22.819497662111814,True
26370,I66_WB,110+04169,3,272.01246563905534,253.89332386847684,1.071365176108233,191.54496067232412,150.7617654962205,0.0,972.0,0.27984821567804047,0,18,443.09527229425385,18.60901888361593,30.785651432667724,True
