link_id,corridor,tmc_code,lanes,has_queue,restarted,identifiable_bins,unidentifiable_bins,queue_peak_meas_veh,queue_peak_fitted_veh,residual_rmse_veh,residual_mae_veh,residual_max_veh,lambda_mean_vph,lambda_peak_vph,lambda_over_mu_peak,end_of_day_queue_veh
25785,I66_WB,110P04171,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
25946,I66_WB,110+04164,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
25947,I66_EB,110N04162,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
25966,I66_WB,110+04166,2,True,True,4,92,11.320885524107307,11.832209944230044,0.406969401484277,0.06508869432739812,3.644244572717963,3946.621607042209,4000.0000099909084,1.0129593211440404,2.19371383991529e-06
25972,I66_WB,110+04165,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26055,I66_WB,110P04167,2,True,False,6,90,60.9481113955299,63.33969491468281,3.710935709174861,0.5176796418324376,35.52691596105858,3651.290081015654,4000.469229564434,1.0587740121302265,0.0
26101,I66_WB,110P04168,3,True,False,8,88,27.05091465059928,27.641865171171276,1.0398050874044822,0.18828115049497215,9.52587373074388,5625.308102743111,6000.09646594709,1.015172986780612,0.0
26177,I66_WB,110P04170,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26269,I395_NB,110P04127,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26271,I395_NB,110P04127,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26274,I395_NB,110+04670,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26297,I395_NB,110P04128,3,True,False,34,62,36.45451211445384,31.100025371577885,1.829867862955356,0.7351079642567928,8.354372513707975,5215.7522796933345,5755.671483232607,1.0115673514506731,0.0
26299,I66_WB,110P04166,3,True,False,10,86,11.521737209631365,4.9723013072512,1.6567939165753218,0.3171356416757722,11.521737209631365,5843.299163277598,6000.022474459593,1.0036594113829365,0.0
26304,I66_WB,110P04164,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26313,I66_WB,110P04162,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26354,I66_WB,110P04165,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
26359,I66_WB,110+04167,3,True,False,12,84,112.10518032282442,112.50310736762731,5.226188986826725,1.1763161069149326,35.58825476665803,5409.958955331848,6077.050665412099,1.0344677645104503,0.0
26370,I66_WB,110+04169,3,True,False,19,77,253.89332386847684,272.01246563905534,10.651072210079763,4.124896434742042,58.14050586642555,5480.032896226439,6052.724133679154,1.1127610349023414,0.0
