link_id,corridor,episode_id,t0_min,T2_min,t3_min,P_h,period_by_T2,vT2_mph,bins,lanes,free_speed_mph,cutoff_mph,mu_free_vphpl,mu_queued_vphpl,mu_free_vph,mu_queued_vph,capacity_drop
25966,I66_WB,E1,846.51760015,870.0,901.0065252666667,0.9081487519444444,MD,30.873478260869565,4,2,61.7,43.19,2000.0,1826.0539750064368,4000.0,3652.1079500128735,0.08697301249678158
26055,I66_WB,E1,452.62981605,495.0,547.1289022333333,1.5749847697222221,AM,27.74942028985507,6,2,65.4465,45.812549999999995,2000.0,1786.2101727847178,4000.0,3572.4203455694355,0.10689491360764114
26101,I66_WB,E1,442.64802168333335,495.0,560.4474864833334,1.9633244133333332,AM,23.70072463768116,8,3,65.38,45.76599999999999,2000.0,1706.408324393527,6000.0,5119.2249731805805,0.14679583780323646
26297,I395_NB,E1,426.44410698333337,510.0,596.75172625,2.8384603211111115,AM,19.482028985507245,11,3,58.1165,40.68155,1900.0,1626.9014584273934,5700.0,4880.70437528218,0.14373607451189818
26297,I395_NB,E2,847.83802195,1050.0,1195.4699030999998,5.7938646858333325,PM,17.9568115942029,23,3,58.1165,40.68155,1900.0,1667.4559268665555,5700.0,5002.367780599667,0.12239161743865501
26299,I66_WB,E1,439.63810115,480.0,524.5433725666667,1.4150878569444445,AM,34.465797101449276,5,3,63.43,44.400999999999996,2000.0,1930.4431236438245,6000.0,5791.329370931473,0.03477843817808779
26299,I66_WB,E2,827.2137833166666,870.0,906.1810620666668,1.3161213125000002,MD,21.59159420289855,5,3,63.43,44.400999999999996,2000.0,1811.6943908653493,6000.0,5435.083172596048,0.09415280456732533
26359,I66_WB,E1,436.96640843333336,480.0,539.1057181,1.7023218277777776,AM,32.59478260869566,6,3,63.6565,44.55955,2000.0,1890.9985178276333,6000.0,5672.9955534829005,0.0545007410861833
26359,I66_WB,E2,813.5306413333333,870.0,904.8322971,1.5216942627777779,MD,26.79652173913043,6,3,63.6565,44.55955,2000.0,1905.0371935320973,6000.0,5715.111580596292,0.047481403233951336
26370,I66_WB,E1,431.3533986,495.0,598.4598140166667,2.785106923611111,AM,21.774637681159422,11,3,65.173,45.6211,2000.0,1685.9636829162057,6000.0,5057.891048748617,0.15701815854189716
26370,I66_WB,E2,806.7686490166667,885.0,916.1106355166667,1.8223664416666667,MD,28.076666666666668,8,3,65.173,45.6211,2000.0,1923.0150956221387,6000.0,5769.045286866416,0.038492452188930604
26380,I66_WB,E1,846.51760015,870.0,901.0065252666667,0.9081487519444444,MD,30.873478260869565,4,2,61.7,43.19,2000.0,1826.0539750064368,4000.0,3652.1079500128735,0.08697301249678158
26469,I395_NB,E1,355.45393958333335,960.0,1306.4196003333334,15.849427679166666,PM,9.665652173913044,64,6,52.147,36.5029,1900.0,1664.6186457802796,11400.0,9987.711874681678,0.12388492327353706
