link_id,corridor,tmc_code,source,episode_id,t0_min,T2_min,t3_min,P_h,vT2_mph,period_by_T2,onset_to_T2_h,T2_to_recovery_h,free_speed_mph,cutoff_mph
25966,I66_WB,110+04166,model,E1,862.4264994,870.0,897.7438192166667,0.5886219969444445,24.31361045019216,MD,0.12622501,0.4623969869444445,61.7,43.19
26055,I66_WB,110P04167,model,E1,473.1968159666667,495.0,543.0147190499999,1.1636317180555555,26.50907158082416,AM,0.36338640055555554,0.8002453175,65.4465,45.812549999999995
26101,I66_WB,110P04168,model,E1,457.94754631666666,495.0,555.5185728,1.626183774722222,22.875838070183068,AM,0.6175408947222223,1.00864288,65.38,45.76599999999999
26297,I395_NB,110P04128,model,E1,444.0518510666667,510.0,586.4838650999999,2.3738669005555555,18.876165115110606,AM,1.0991358155555555,1.274731085,58.1165,40.68155
26297,I395_NB,110P04128,model,E2,865.4572849,1050.0,1440.0,9.575711918333333,18.595046055760765,PM,3.075711918333333,6.5,58.1165,40.68155
26299,I66_WB,110P04166,model,E1,459.91236761666664,480.0,514.2173836666667,0.9050836008333333,32.95836634369889,AM,0.3347938730555556,0.5702897277777778,63.43,44.400999999999996
26359,I66_WB,110+04167,model,E1,461.0630636833333,480.0,525.2618779833333,1.0699802383333334,35.01456703025583,AM,0.31561560527777777,0.7543646330555556,63.6565,44.55955
26359,I66_WB,110+04167,model,E2,838.1812069,870.0,901.9152825666666,1.0622345944444445,24.804162898169878,MD,0.5303132183333333,0.5319213761111111,63.6565,44.55955
26370,I66_WB,110+04169,model,E1,443.46790031666666,495.0,587.77543795,2.4051256272222217,20.60105789492335,AM,0.8588683280555555,1.5462572991666665,65.173,45.6211
26370,I66_WB,110+04169,model,E2,831.4297402333334,885.0,909.7955138333333,1.3060962266666667,29.718104050119845,MD,0.8928376627777778,0.4132585638888889,65.173,45.6211
26469,I395_NB,110P04130,model,E1,370.73944846666666,945.0,1440.0,17.82100919222222,9.587140825871849,PM,9.57100919222222,8.25,52.147,36.5029
26501,I395_NB,110+04130,model,E1,387.4261511833334,1035.0,1440.0,17.542897480277777,9.612598425804478,PM,10.792897480277778,6.75,52.70299999999998,36.892099999999985
26699,I395_SB,110N04127,model,E1,908.4741732333333,1020.0,1440.0,8.858763779444445,21.64131205340081,PM,1.8587637794444443,7.0,60.8665,42.60655
26756,I395_NB,110P04124,model,E1,418.97790406666667,495.0,555.7575383999999,2.2796605722222223,35.6908031963892,AM,1.2670349322222223,1.01262564,67.23,47.061
26759,I395_SB,110N04124,model,E1,924.73543035,960.0,1110.1090336999998,3.089560055833333,28.007221212263854,PM,0.5877428275,2.501817228333333,62.2265,43.55855
26764,I395_SB,110-04124,model,E1,925.0913241,1050.0,1110.2462027833333,3.085914644722222,29.174047738883907,PM,2.081811265,1.0041033797222223,61.763000000000005,43.2341
26772,I395_SB,110N04125,model,E1,925.2962336666666,1050.0,1108.98122795,3.061416571388889,28.919445480550795,PM,2.0783961055555555,0.9830204658333334,63.78,44.646
26776,I395_SB,110N04125,model,E1,925.2962336666666,1050.0,1108.9812274166666,3.0614165625000003,28.91944552086251,PM,2.0783961055555555,0.9830204569444445,63.78,44.646
26781,I395_SB,110-04125,model,E1,924.9792247666667,960.0,1100.01760205,2.917306288055556,29.27286340538354,PM,0.5836795872222222,2.3336267008333333,65.3565,45.74954999999999
26788,I395_SB,110N04126,model,E1,898.8257553333333,960.0,1440.0,9.019570744444444,28.996518973310366,PM,1.0195707444444444,8.0,65.73,46.011
26792,I395_SB,110N04126,model,E1,898.24288155,960.0,1440.0,9.0292853075,28.838774673474756,PM,1.0292853075,8.0,65.73,46.011
26796,I395_SB,110-04126,model,E1,882.36268115,945.0,1440.0,9.293955314166668,20.983549031136846,PM,1.0439553141666666,8.25,66.12,46.284
26799,I395_SB,110N04127,model,E1,908.4741732666666,1020.0,1440.0,8.858763778888889,21.641312096847273,PM,1.8587637788888889,7.0,60.8665,42.60655
26810,I395_SB,110N04127,model,E1,908.4741732333333,1020.0,1440.0,8.858763779444445,21.641312058428404,PM,1.8587637794444443,7.0,60.8665,42.60655
26814,I395_SB,110N04127,model,E1,908.4741732666666,1020.0,1440.0,8.858763778888889,21.64131207263673,PM,1.8587637788888889,7.0,60.8665,42.60655
26821,I395_SB,110N04127,model,E1,908.4741732833334,1020.0,1440.0,8.858763778611111,21.641312113448382,PM,1.8587637786111113,7.0,60.8665,42.60655
26825,I395_NB,110+04129,model,E1,430.8682785333333,510.0,598.1789888333333,2.7885118383333336,17.522100509854152,AM,1.3188620244444447,1.469649813888889,55.654,38.9578
26825,I395_NB,110+04129,model,E2,849.3093361499999,1050.0,1440.0,9.844844397500001,13.409555519980284,PM,3.3448443974999997,6.5,55.654,38.9578
27878,I395_NB,110+04124,model,E1,417.70473761666665,495.0,556.1056734833332,2.3066822644444445,29.80287000388015,AM,1.2882543730555556,1.018427891388889,67.18950000000001,47.032650000000004
27878,I395_NB,110+04124,model,E2,1049.0619781666667,1065.0,1084.9396245,0.5979607722222223,42.87173447921059,PM,0.2656336972222222,0.33232707499999997,67.18950000000001,47.032650000000004
28025,I395_NB,110+04123,model,E1,415.11587303333334,495.0,566.8690275833334,2.5292192425,28.11173372174213,AM,1.331402116111111,1.197817126388889,67.2765,47.09354999999999
28270,I395_NB,110P04122,model,E1,431.93218908333336,525.0,544.3784401,1.874104183611111,35.266645707473415,AM,1.5511301819444445,0.3229740016666667,67.84649999999999,47.492549999999994
28275,I395_NB,110P04122,model,E1,432.28368489999997,525.0,544.0168609,1.8622196,34.243706810319075,AM,1.5452719183333334,0.31694768166666665,67.84649999999999,47.492549999999994
28285,I395_NB,110P04123,model,E1,416.77571445,495.0,570.3129582833334,2.5589540638888892,28.62608221154535,AM,1.3037380925,1.2552159713888889,65.6195,45.93365
28289,I395_SB,110-04122,model,E1,914.4883082333333,945.0,1068.93007035,2.5740293686111113,39.27704204364603,PM,0.5085281961111111,2.0655011725,65.70649999999999,45.99454999999999
