link_id,corridor,tmc_code,variant,mae_period_mph,rmse_period_mph,mae_episode_mph,bias_episode_mph,episode_bins
25785,I66_WB,110P04171,free_flow,4.267201086956523,4.534022833565466,,,0
25785,I66_WB,110P04171,assignment,4.267201086956523,4.534022833565466,,,0
25785,I66_WB,110P04171,anchored,4.267201086956523,4.534022833565466,,,0
25946,I66_WB,110+04164,free_flow,3.160956521739131,3.221399206895823,,,0
25946,I66_WB,110+04164,assignment,3.160956521739131,3.221399206895823,,,0
25946,I66_WB,110+04164,anchored,3.160956521739131,3.221399206895823,,,0
25947,I66_EB,110N04162,free_flow,10.703141304347824,10.857349184787964,,,0
25947,I66_EB,110N04162,assignment,10.703141304347824,10.857349184787964,,,0
25947,I66_EB,110N04162,anchored,10.703141304347824,10.857349184787964,,,0
25966,I66_WB,110+04166,free_flow,2.5616576086956537,3.2089212006123082,9.867391304347827,9.867391304347827,1
25966,I66_WB,110+04166,assignment,2.5616576086956466,3.2089212006123025,9.86739130434782,9.86739130434782,1
25966,I66_WB,110+04166,anchored,2.0736943093878777,2.1159056081072167,2.05997851542341,-2.05997851542341,1
25972,I66_WB,110+04165,free_flow,2.6132663043478277,2.653529126625647,,,0
25972,I66_WB,110+04165,assignment,2.613266304347835,2.653529126625654,,,0
25972,I66_WB,110+04165,anchored,2.613266304347835,2.653529126625654,,,0
26055,I66_WB,110P04167,free_flow,3.2936195652173907,4.055465694823512,,,0
26055,I66_WB,110P04167,assignment,3.2936195652173907,4.055465694823512,,,0
26055,I66_WB,110P04167,anchored,3.2936195652173907,4.055465694823512,,,0
26101,I66_WB,110P04168,free_flow,4.1776358695652105,5.735264752328399,,,0
26101,I66_WB,110P04168,assignment,4.1776358695652105,5.735264752328399,,,0
26101,I66_WB,110P04168,anchored,4.1776358695652105,5.735264752328399,,,0
26177,I66_WB,110P04170,free_flow,4.002940217391309,4.465677142094931,,,0
26177,I66_WB,110P04170,assignment,4.002940217391309,4.465677142094931,,,0
26177,I66_WB,110P04170,anchored,4.002940217391309,4.465677142094931,,,0
26269,I395_NB,110P04127,free_flow,5.717777173913046,5.77913202892941,,,0
26269,I395_NB,110P04127,assignment,5.717777173913046,5.77913202892941,,,0
26269,I395_NB,110P04127,anchored,5.717777173913046,5.77913202892941,,,0
26271,I395_NB,110P04127,free_flow,5.717777173913046,5.77913202892941,,,0
26271,I395_NB,110P04127,assignment,5.7177771739130385,5.779132028929403,,,0
26271,I395_NB,110P04127,anchored,5.717777173913046,5.77913202892941,,,0
26274,I395_NB,110+04670,free_flow,6.788342391304347,6.948802538753694,,,0
26274,I395_NB,110+04670,assignment,6.788342391304347,6.948802538753694,,,0
26274,I395_NB,110+04670,anchored,6.788342391304347,6.948802538753694,,,0
26297,I395_NB,110P04128,free_flow,35.31986956521739,35.48521713573985,35.31986956521739,34.70954347826087,16
26297,I395_NB,110P04128,assignment,35.3198695652174,35.48521713573986,35.3198695652174,34.70954347826088,16
26297,I395_NB,110P04128,anchored,1.6191211520018693,2.0187080860542768,1.6191211520018693,0.3610391053058599,16
26299,I66_WB,110P04166,free_flow,3.0352445652173916,4.8852776748896325,17.79,17.79,1
26299,I66_WB,110P04166,assignment,3.0352445652173916,4.8852776748896325,17.79,17.79,1
26299,I66_WB,110P04166,anchored,3.0352445652173916,4.8852776748896325,17.79,17.79,1
26304,I66_WB,110P04164,free_flow,2.611983695652175,2.658788212953819,,,0
26304,I66_WB,110P04164,assignment,2.611983695652175,2.658788212953819,,,0
26304,I66_WB,110P04164,anchored,2.611983695652175,2.658788212953819,,,0
26313,I66_WB,110P04162,free_flow,4.165679347826089,4.301636254768237,,,0
26313,I66_WB,110P04162,assignment,4.165679347826089,4.301636254768237,,,0
26313,I66_WB,110P04162,anchored,4.165679347826089,4.301636254768237,,,0
26354,I66_WB,110P04165,free_flow,2.7512282608695635,2.7999588494478136,,,0
26354,I66_WB,110P04165,assignment,2.7512282608695706,2.7999588494478207,,,0
26354,I66_WB,110P04165,anchored,2.7512282608695706,2.7999588494478207,,,0
26359,I66_WB,110+04167,free_flow,4.903701086956522,6.07885057060034,18.226499999999994,18.226499999999994,1
26359,I66_WB,110+04167,assignment,4.903701086956515,6.078850570600335,18.226499999999987,18.226499999999987,1
26359,I66_WB,110+04167,anchored,3.7656113145672347,4.023631576953214,0.017063641771393634,-0.017063641771393634,1
26370,I66_WB,110+04169,free_flow,5.937347826086958,10.164069983593187,24.263,24.263,2
26370,I66_WB,110+04169,assignment,5.937347826086958,10.164069983593187,24.263,24.263,2
26370,I66_WB,110+04169,anchored,3.3995280661753546,3.4981793507595196,3.9604419207071757,3.9604419207071757,2
26380,I66_WB,110+04166,free_flow,2.5616576086956537,3.2089212006123082,9.867391304347827,9.867391304347827,1
26380,I66_WB,110+04166,assignment,2.5616576086956537,3.2089212006123082,9.867391304347827,9.867391304347827,1
26380,I66_WB,110+04166,anchored,2.5616576086956537,3.2089212006123082,9.867391304347827,9.867391304347827,1
26423,I395_NB,110+04126,free_flow,11.863195652173921,11.918710776078084,,,0
26423,I395_NB,110+04126,assignment,11.863195652173921,11.918710776078084,,,0
