link_id,corridor,tmc_code,lanes,V_assign_veh,lower_bound_veh,upper_bound_veh,window_width_veh,inside_window,below_lower,above_upper,V_over_lower,V_over_upper,queued_bins_in_pm,pinned_by_queue_veh,absorbed_by_free_bins_veh,share_pinned,mu_free_vph,bins_pushed_over_mu,V_assign_over_capacity_h
26759,I395_SB,110N04124,4,28125.6096,25395.743499457076,29195.743499457076,3800.0,True,False,False,1.107493056881807,0.9633462357457354,14,25554.0100292057,2571.5995707943002,0.9085673303666172,7600.0,0,14.802952421052632
26761,I395_NB,110P04125,4,17077.2891,0.0,30400.0,30400.0,True,False,False,,0.5617529309210527,0,0.0,17077.2891,0.0,7600.0,0,8.988046894736843
26764,I395_SB,110-04124,4,28125.6096,25129.41909319825,28929.41909319825,3800.0,True,False,False,1.1192303926998746,0.972214806989082,14,24881.883860797003,3243.725739202997,0.8846700290114602,7600.0,0,14.802952421052632
26768,I395_NB,110P04125,4,18403.7133,0.0,30400.0,30400.0,True,False,False,,0.6053853059210527,0,0.0,18403.7133,0.0,7600.0,0,9.686164894736843
26772,I395_SB,110N04125,4,24194.0844,24838.844992164195,28638.844992164195,3800.0,False,True,False,0.9740422474407487,0.8447995862479679,14,24391.912798563386,-197.82839856338614,1.0081767259836205,7600.0,0,12.733728631578947
26776,I395_SB,110N04125,4,25316.5534,24838.844992164195,28638.844992164195,3800.0,True,False,False,1.0192323116467978,0.8839935202319368,14,24391.92368274636,924.6297172536397,0.9634772671206643,7600.0,0,13.324501789473684
26778,I395_NB,110P04126,4,14751.2582,0.0,30400.0,30400.0,True,False,False,,0.4852387565789474,0,0.0,14751.2582,0.0,7600.0,0,7.763820105263158
26781,I395_SB,110-04125,4,25316.5534,26618.8795731637,28518.8795731637,1900.0,False,True,False,0.9510750942922233,0.8877120622867284,15,26022.573475196976,-706.0200751969751,1.0278876853433365,7600.0,0,13.324501789473684
26785,I395_NB,110+04127,4,15129.1396,0.0,32000.0,32000.0,True,False,False,,0.4727856125,0,0.0,15129.1396,0.0,8000.0,0,7.5645698
26788,I395_SB,110N04126,4,21256.295,28124.76131450264,28124.76131450264,0.0,False,True,False,0.7557857918260487,0.7557857918260487,16,27734.56449251844,-6478.2694925184405,1.3047694573545596,7600.0,0,11.187523684210525
26792,I395_SB,110N04126,4,21743.5893,28124.76131450264,28124.76131450264,0.0,False,True,False,0.773111958421771,0.773111958421771,16,27760.0421011805,-6016.452801180501,1.2767000755105553,7600.0,0,11.443994368421052
26796,I395_SB,110-04126,4,21743.5893,25464.457679914296,25464.457679914296,0.0,False,True,False,0.8538799283815409,0.8538799283815409,16,24990.081422362844,-3246.4921223628444,1.149308013390542,7600.0,0,11.443994368421052
26799,I395_SB,110N04127,3,27038.9247,19886.22869038215,19886.22869038215,0.0,False,False,True,1.3596808686544575,1.3596808686544575,16,19343.611310537446,7695.3133894625535,0.715398690042487,5700.0,0,14.231012999999999
26810,I395_SB,110N04127,4,27095.169,26514.9715871762,26514.9715871762,0.0,False,False,True,1.0218818794851892,1.0218818794851892,16,25791.115401769144,1304.0535982308575,0.9518713613400656,7600.0,0,14.260615263157895
26814,I395_SB,110N04127,4,27095.169,26514.9715871762,26514.9715871762,0.0,False,False,True,1.0218818794851892,1.0218818794851892,16,25795.877837669846,1299.2911623301552,0.9520471283153777,7600.0,0,14.260615263157895
26821,I395_SB,110N04127,3,19020.0665,19886.22869038215,19886.22869038215,0.0,False,True,False,0.9564441200054656,0.9564441200054656,16,19348.007403844436,-327.9409038444355,1.017241837921252,5700.0,0,10.010561315789474
26824,I395_SB,110N04670,3,12477.5365,0.0,22800.0,22800.0,True,False,False,,0.5472603728070176,0,0.0,12477.5365,0.0,5700.0,0,6.567124473684211
26825,I395_NB,110+04129,3,3732.1287,17064.59945201276,17064.59945201276,0.0,False,True,False,0.21870590695639197,0.21870590695639197,16,17991.093175215174,-14258.964475215173,4.820598275513696,5700.0,0,1.9642782631578948
26829,I395_SB,110N04128,3,12477.5365,0.0,22800.0,22800.0,True,False,False,,0.5472603728070176,0,0.0,12477.5365,0.0,5700.0,0,6.567124473684211
26833,I395_SB,110-04128,3,15294.7596,0.0,22800.0,22800.0,True,False,False,,0.6708227894736842,0,0.0,15294.7596,0.0,5700.0,0,8.04987347368421
27878,I395_NB,110+04124,4,19305.8097,11221.46977013002,30221.469770130017,19000.0,True,False,False,1.7204350317272488,0.6388110785757111,6,11229.566433835233,8076.243266164769,0.581667726365045,7600.0,0,10.160952473684212
28025,I395_NB,110+04123,4,18083.9709,0.0,30400.0,30400.0,True,False,False,,0.5948674638157895,0,0.0,18083.9709,0.0,7600.0,0,9.517879421052632
28270,I395_NB,110P04122,4,16218.007,0.0,30400.0,30400.0,True,False,False,,0.5334870723684211,0,0.0,16218.007,0.0,7600.0,0,8.535793157894737
28275,I395_NB,110P04122,4,18083.9709,0.0,30400.0,30400.0,True,False,False,,0.5948674638157895,0,0.0,18083.9709,0.0,7600.0,0,9.517879421052632
28279,I395_SB,110N04122,4,19473.4757,0.0,30400.0,30400.0,True,False,False,,0.6405748585526315,0,0.0,19473.4757,0.0,7600.0,0,10.249197736842104
28283,I395_SB,110N04122,4,28120.22,0.0,30400.0,30400.0,True,False,False,,0.9250072368421053,0,0.0,28120.22,0.0,7600.0,0,14.800115789473685
28285,I395_NB,110P04123,4,15720.2943,0.0,30400.0,30400.0,True,False,False,,0.5171149440789473,0,0.0,15720.2943,0.0,7600.0,0,8.273839105263157
28289,I395_SB,110-04122,4,29010.2595,27442.399396753943,29342.399396753943,1900.0,True,False,False,1.0571327630859972,0.9886805474813799,15,27146.77737418808,1863.482125811919,0.9357647205530195,7600.0,0,15.268557631578947
28294,I395_NB,110+04124,4,19305.8097,11221.46977013002,30221.469770130017,19000.0,True,False,False,1.7204350317272488,0.6388110785757111,6,11250.414387966972,8055.39531203303,0.5827476061761331,7600.0,0,10.160952473684212
28298,I395_SB,110N04123,4,26570.5973,24676.05200399326,28476.05200399326,3800.0,True,False,False,1.0767766778778125,0.9330857134364675,14,24603.46804576029,1967.1292542397096,0.9259659377608456,7600.0,0,13.984524894736843
