link_id,corridor,P_h_obs,T2_min_obs,vT2_mph_obs,t0_min_obs,t3_min_obs,P_h_model,T2_min_model,vT2_mph_model,t0_min_model,t3_min_model,P_h_err,T2_min_err,vT2_mph_err,t0_min_err,t3_min_err,inside_window,below_lower,above_upper,right_censored
26297,I395_NB,5.7938646858333325,1050.0,17.9568115942029,847.83802195,1195.4699030999998,9.575711918333331,1050.0,18.595046055760765,865.4572849,1440.0,,0.0,0.6382344615578646,17.619262950000007,,False,True,False,True
26469,I395_NB,15.849427679166666,960.0,9.665652173913044,355.4539395833333,1306.4196003333334,17.82100919222222,945.0,9.587140825871847,370.73944846666666,1440.0,,-15.0,-0.07851134804119653,15.285508883333364,,False,True,False,True
26501,I395_NB,14.399489555277777,1050.0,9.428985507246376,371.1439082666666,1235.1132815833334,17.542897480277777,1035.0,9.612598425804478,387.4261511833334,1440.0,,-15.0,0.18361291855810258,16.282242916666803,,False,True,False,True
26699,I395_SB,3.917767016944445,1005.0,21.192318840579706,897.1820547666666,1132.2480757833332,8.858763779444445,1020.0,21.64131205340081,908.4741732333332,1440.0,,15.0,0.4489932128211045,11.29211846666658,,False,True,False,True
26759,I395_SB,3.563430022222222,945.0,29.326666666666668,901.2669475333332,1115.0727488666666,3.089560055833333,960.0,28.00722121226385,924.73543035,1110.1090336999998,-0.473869966388889,15.0,-1.3194454544028176,23.46848281666678,-4.963715166666816,True,False,False,False
26764,I395_SB,3.6407966530555553,1050.0,29.523623188405796,903.4074311,1121.8552302833334,3.085914644722222,1050.0,29.174047738883907,925.0913241,1110.2462027833333,-0.5548820083333332,0.0,-0.3495754495218897,21.683892999999898,-11.609027500000138,True,False,False,False
26772,I395_SB,3.569644963888889,1050.0,29.04405797101449,905.9613655833332,1120.1400634166666,3.061416571388889,1050.0,28.919445480550795,925.2962336666666,1108.98122795,-0.5082283925,0.0,-0.1246124904636936,19.33486808333339,-11.158835466666687,False,True,False,False
26776,I395_SB,3.569644963888889,1050.0,29.04405797101449,905.9613655833332,1120.1400634166666,3.0614165625000003,1050.0,28.91944552086251,925.2962336666666,1108.9812274166666,-0.5082284013888887,0.0,-0.12461245015197875,19.33486808333339,-11.158836000000065,True,False,False,False
26781,I395_SB,3.757975964444444,975.0,29.63536231884058,900.45145145,1125.9300093166669,2.917306288055556,960.0,29.27286340538354,924.9792247666668,1100.01760205,-0.8406696763888881,-15.0,-0.362498913457042,24.527773316666753,-25.912407266666833,False,True,False,False
26788,I395_SB,4.249626713055555,960.0,29.140869565217383,881.2733876666666,1136.25099045,9.019570744444444,960.0,28.99651897331037,898.8257553333333,1440.0,,0.0,-0.14435059190701338,17.55236766666667,,False,True,False,True
26792,I395_SB,4.249626713055555,960.0,29.140869565217383,881.2733876666666,1136.25099045,9.0292853075,960.0,28.83877467347476,898.24288155,1440.0,,0.0,-0.30209489174262316,16.96949388333337,,False,True,False,True
26796,I395_SB,4.557636975833334,945.0,21.2572463768116,868.71550915,1142.1737277,9.293955314166668,945.0,20.98354903113685,882.36268115,1440.0,,0.0,-0.27369734567475135,13.647171999999955,,False,True,False,True
26799,I395_SB,3.917767016944445,1005.0,21.192318840579706,897.1820547666666,1132.2480757833332,8.858763778888889,1020.0,21.641312096847276,908.4741732666666,1440.0,,15.0,0.4489932562675705,11.292118500000015,,False,False,True,True
26810,I395_SB,3.917767016944445,1005.0,21.192318840579706,897.1820547666666,1132.2480757833332,8.858763779444445,1020.0,21.641312058428404,908.4741732333332,1440.0,,15.0,0.44899321784869883,11.29211846666658,,False,False,True,True
26814,I395_SB,3.917767016944445,1005.0,21.192318840579706,897.1820547666666,1132.2480757833332,8.858763778888889,1020.0,21.64131207263673,908.4741732666666,1440.0,,15.0,0.448993232057024,11.292118500000015,,False,False,True,True
26821,I395_SB,3.917767016944445,1005.0,21.192318840579706,897.1820547666666,1132.2480757833332,8.858763778611111,1020.0,21.641312113448382,908.4741732833334,1440.0,,15.0,0.44899327286867674,11.292118516666733,,False,True,False,True
