link_id,corridor,tmc_code,t_min,period,mu_vph,lambda_vph,queue_fitted_veh,queue_meas_veh,outflow_vph,residual_veh,lambda_identifiable
25785,I66_WB,110P04171,0,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,15,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,30,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,45,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,60,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,75,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,90,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,105,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,120,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,135,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,150,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,165,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,180,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,195,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,210,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,225,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,240,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,255,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,270,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,285,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,300,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,315,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,330,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,345,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,360,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,375,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,390,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,405,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,420,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,435,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,450,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,465,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,480,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,495,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,510,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,525,AM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,540,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,555,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,570,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,585,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,600,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,615,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,630,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,645,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,660,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,675,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,690,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,705,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,720,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,735,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,750,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,765,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,780,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,795,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,810,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,825,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,840,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,855,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,870,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,885,MD,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,900,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,915,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,930,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,945,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,960,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,975,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,990,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1005,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1020,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1035,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1050,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1065,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1080,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1095,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1110,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1125,PM,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1140,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1155,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1170,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1185,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1200,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1215,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1230,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1245,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1260,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1275,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1290,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1305,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1320,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1335,NT,8000.0,,0.0,0.0,,0.0,False
25785,I66_WB,110P04171,1350,NT,8000.0,,0.0,0.0,,0.0,False
