corridor,link_id,period,bins,bins_below_cutoff,free_speed_mph,capacity_vph,D_counts,D_speed,V_counts,V_speed,V_err,D_err
D12_I405_N,L405N-001,AM,36,0,68.21052677029363,9247.690880829015,0.0,0.0,24713.407599309154,23606.395121243135,-4.479400396799043,
D12_I405_N,L405N-001,MD,72,0,68.21052677029363,9247.690880829015,0.0,0.0,49256.62521588946,52076.250593705896,5.724357617798935,
D12_I405_N,L405N-001,PM,48,20,68.21052677029363,9247.690880829015,14838.423143350607,15380.760790212746,35342.05526770293,36781.701631793214,4.0734653182603395,3.6549547187240807
D12_I405_N,L405N-001,NT,132,0,68.21052677029363,9247.690880829015,0.0,0.0,39347.26354539466,54267.71239565171,37.91991489584387,
D12_I405_N,L405N-002,AM,36,0,71.77130829015543,7132.534663212436,0.0,0.0,17476.53886010363,16336.722882172626,-6.521977761472182,
D12_I405_N,L405N-002,MD,72,0,71.77130829015543,7132.534663212436,0.0,0.0,36303.533678756474,39102.96750605073,7.711188260806642,
D12_I405_N,L405N-002,PM,48,0,71.77130829015543,7132.534663212436,0.0,0.0,27327.621761658032,28172.41149143689,3.0913400995769753,
D12_I405_N,L405N-002,NT,132,0,71.77130829015543,7132.534663212436,0.0,0.0,26163.716815341064,43201.60561405598,65.12029204017668,
D12_I405_N,L405N-003,AM,36,0,68.1889175257731,4483.529533678757,0.0,0.0,11370.181347150261,10851.498149108134,-4.56178474384778,
D12_I405_N,L405N-003,MD,72,0,68.1889175257731,4483.529533678757,0.0,0.0,18802.321243523314,22210.269319750514,18.125145465223387,
D12_I405_N,L405N-003,PM,48,0,68.1889175257731,4483.529533678757,0.0,0.0,12634.81347150259,13895.67513779672,9.979266169128351,
D12_I405_N,L405N-003,NT,132,0,68.1889175257731,4483.529533678757,0.0,0.0,12212.952272848672,18023.336689423475,47.57559259027163,
D12_I405_N,L405N-005,AM,36,0,69.37535441482822,8014.185699481865,0.0,0.0,19985.84974093264,16582.334096141214,-17.029626905583857,
D12_I405_N,L405N-005,MD,72,15,69.37535441482822,8014.185699481865,9610.621761658029,9368.214082208991,44964.2590673575,44440.38987906858,-1.1650791076178015,-2.5222892489238613
D12_I405_N,L405N-005,PM,48,48,69.37535441482822,8014.185699481865,23207.82383419689,22831.671814096353,23207.82383419689,22831.671814096353,-1.6207983255468972,-1.6207983255468972
D12_I405_N,L405N-005,NT,132,17,69.37535441482822,8014.185699481865,8741.497409326425,10620.483427110372,36397.16639068426,52874.69410479754,45.27145750096264,21.495013151628132
D12_I405_N,L405N-009,AM,36,0,68.6716412050638,5525.492642487046,0.0,0.0,9898.60621761658,12785.838636079347,29.16807028169633,
D12_I405_N,L405N-009,MD,72,0,68.6716412050638,5525.492642487046,0.0,0.0,22406.398963730568,29944.44848563016,33.64239623734942,
D12_I405_N,L405N-009,PM,48,0,68.6716412050638,5525.492642487046,0.0,0.0,21011.549222797927,21172.053922630348,0.7638879843199322,
D12_I405_N,L405N-009,NT,132,0,68.6716412050638,5525.492642487046,0.0,0.0,20352.50120185887,29193.31583913304,43.43846758484261,
D12_I405_N,L405N-011,AM,36,0,69.57805699481861,6552.8359585492235,0.0,0.0,18357.0103626943,16701.25497513452,-9.01974425489597,
D12_I405_N,L405N-011,MD,72,0,69.57805699481861,6552.8359585492235,0.0,0.0,35762.538860103625,35715.7912150045,-0.1307167963717328,
D12_I405_N,L405N-011,PM,48,0,69.57805699481861,6552.8359585492235,0.0,0.0,25096.010362694302,23647.720845209922,-5.770995056797115,
D12_I405_N,L405N-011,NT,132,0,69.57805699481861,6552.8359585492235,0.0,0.0,28279.515143421828,36185.88378140384,27.957935621895324,
D12_I405_N,L405N-013,AM,36,0,70.43992227979278,6494.07481865285,0.0,0.0,18160.21243523316,16675.791848144272,-8.174026556038076,
D12_I405_N,L405N-013,MD,72,0,70.43992227979278,6494.07481865285,0.0,0.0,35278.68393782384,35373.27330004585,0.2681204389277023,
D12_I405_N,L405N-013,PM,48,0,70.43992227979278,6494.07481865285,0.0,0.0,24523.056994818653,23347.773159485427,-4.792566585730098,
D12_I405_N,L405N-013,NT,132,0,70.43992227979278,6494.07481865285,0.0,0.0,27412.856791838043,36048.58243368807,31.502465093026146,
D12_I405_N,L405N-014,AM,36,0,66.57424870466322,8008.594196891192,0.0,0.0,21027.691709844556,15892.237068653154,-24.422341320455683,
D12_I405_N,L405N-014,MD,72,0,66.57424870466322,8008.594196891192,0.0,0.0,38418.74870466321,37414.738915014874,-2.6133328739217103,
D12_I405_N,L405N-014,PM,48,0,66.57424870466322,8008.594196891192,0.0,0.0,23472.002590673575,31755.915692074217,35.29274108333727,
