link_id,period,holdout_date,P_observed_from_speed_h,vT2_observed_mph,capacity_vph,k_d,f_d_h,n,calibration_episode_count,x_hat_D_over_C,D_hat_veh_h,V_hat_veh,V_observed_veh,volume_error_veh,absolute_percentage_error_pct,evidence_status,structural_audit_flag,cutoff_speed_vc_mph,s_frozen,f_p_calibrated,z_observed_from_holdout_speed,z_predicted_from_holdout_P,severity_observed_over_predicted,vT2_predicted_mph,vT2_error_mph,severity_ratio_pass,speed_error_pass,speed_branch_supported,inverse_status
L405S-012,AM,2025-06-02,2.3095693080555555,32.3,7169.400000000001,1.1213826658436512,2.6485034226328548,1.1,3,0.8829513659759135,6330.231523227715,22580.094078644543,26798.0,-4217.905921355457,15.73962952964944,held_out_day_speed_duration_to_volume,none,51.225,1.4,0.24121722283175606,0.5859133126934986,0.7786668974545815,0.7524569422545332,28.799658931814147,-3.5003410681858504,True,True,True,identified_under_calibrated_qvdf
L405S-012,AM,2025-06-03,3.287808968888889,22.5,7193.400000000001,1.1299924069855731,2.286067689414595,1.1,3,1.3914591012355104,10009.321898827522,35431.466041542386,27218.0,8213.466041542386,30.176596522677592,held_out_day_speed_duration_to_volume,none,51.225,1.4,0.23744963013794212,1.2766666666666668,1.25672629943541,1.0158669132970441,22.698809338472067,0.19880933847206705,True,True,True,identified_under_calibrated_qvdf
L405S-012,AM,2025-06-04,2.4711685125,27.800000000000004,7169.400000000001,1.1299924069855731,2.6485034226328548,1.1,3,0.9389403892333292,6731.639226569431,23828.97153982513,27541.0,-3712.028460174868,13.478190552902468,held_out_day_speed_duration_to_volume,none,51.225,1.4,0.24121722283175606,0.8426258992805753,0.8559957713663041,0.9843809133958823,27.599739606244018,-0.20026039375598614,True,True,True,identified_under_calibrated_qvdf
L405S-012,AM,2025-06-05,2.7590773808333333,22.9,7224.0,1.1213826658436512,2.29676713394077,1.1,3,1.1814253550867806,8534.616765146902,30443.191339063706,26340.0,4103.191339063702,15.577795516566823,held_out_day_speed_duration_to_volume,none,51.225,1.4,0.23744963013794212,1.2368995633187776,0.9831978735892078,1.2580372644658195,25.82949522192285,2.9294952219228527,True,True,True,identified_under_calibrated_qvdf
L405S-018,PM,2025-06-02,0.3578654969444444,43.9,10836.0,1.0746152851416009,0.7280683376795057,1.1,3,0.5243107997666023,5681.431826270903,21147.779693166256,30646.0,-9498.220306833744,30.99334434129656,held_out_day_speed_duration_to_volume,none,51.375,1.4,0.6462711158628504,0.17027334851936216,0.15332836554761534,1.1105143390215337,44.54498955777132,0.6449895577713249,True,True,True,identified_under_calibrated_qvdf
L405S-018,PM,2025-06-03,2.259981673888889,27.500000000000004,10666.8,1.0746152851416009,0.6235776015898835,1.1,3,3.2238641774986467,34388.31440854257,128002.3274711238,29062.0,98940.3274711238,340.4456935899931,held_out_day_speed_duration_to_volume,duration_volume_relation_failure_gt100pct,51.375,1.4,0.7176933410611422,0.8681818181818179,2.2474280721072115,0.386300157480814,15.820211828945443,-11.679788171054561,False,False,False,not_identified_speed_branch_failure
L405S-018,PM,2025-06-04,0.5437225875,39.2,10685.4,1.0862102721399205,0.6247737906537089,1.1,3,0.8813339914631866,9417.406232380736,34679.864383266045,30932.0,3747.8643832660455,12.116463155521936,held_out_day_speed_duration_to_volume,none,51.375,1.4,0.6462711158628504,0.31058673469387754,0.27538676931504347,1.1278201035815385,40.281898194373895,1.081898194373892,True,True,True,identified_under_calibrated_qvdf
L405S-018,PM,2025-06-05,0.489838643611111,41.5,10829.4,1.0862102721399205,0.7275805548141605,1.1,3,0.6978991848491007,7557.829432404853,27831.92030587349,32153.0,-4321.079694126514,13.4391182599649,held_out_day_speed_duration_to_volume,none,51.375,1.4,0.7176933410611422,0.23795180722891573,0.26424889392379874,0.9004836451558951,40.636776703477636,-0.8632232965223636,True,True,True,identified_under_calibrated_qvdf
L405S-115,AM,2025-06-02,1.31478058,24.1,7236.0,1.288458942632171,2.944658225676319,1.1,3,0.480455398588979,3476.5752641898525,10792.971818217551,23155.0,-12362.028181782449,53.38815885028049,held_out_day_speed_duration_to_volume,none,53.25375,1.4,0.7705280876586337,1.2096991701244812,1.1302722560585368,1.0702723734394053,24.998565253124465,0.8985652531244632,True,True,True,identified_under_calibrated_qvdf
L405S-115,AM,2025-06-03,3.584251959722222,10.800000000000002,7236.0,1.240321469575201,2.8506078818859164,1.1,3,1.2314566721591242,8910.820479743423,28737.13210106828,20734.0,8003.13210106828,38.59907447221125,held_out_day_speed_duration_to_volume,none,53.25375,1.4,0.8246749251801319,3.930902777777776,4.925391240096662,0.7980894483624069,8.987381228033689,-1.8126187719663136,True,True,True,identified_under_calibrated_qvdf
L405S-115,AM,2025-06-04,2.9102083330555555,12.0,7188.0,1.240321469575201,2.8298143391260187,1.1,3,1.025793929344587,7373.406764128891,23779.01840771721,22225.0,1554.018407717209,6.992208808626361,held_out_day_speed_duration_to_volume,none,53.25375,1.4,0.8246749251801319,3.4378124999999997,3.6793957438146547,0.9343415982853231,11.380475795489657,-0.6195242045103431,True,True,True,identified_under_calibrated_qvdf
L405S-115,AM,2025-06-05,2.6415859413888887,11.4,7116.0,1.288458942632171,2.890986173624364,1.1,3,0.9212567090069322,6555.662741293329,20351.94921430985,21775.0,-1423.050785690146,6.535250450930636,held_out_day_speed_duration_to_volume,none,53.25375,1.4,0.7705280876586337,3.6713815789473676,3.001920017995188,1.223011125192894,13.307050056107352,1.9070500561073516,True,True,True,identified_under_calibrated_qvdf
