subset,cases,supported_cases,coverage_pct,vT2_MAE_mph,volume_MAPE_all_pct,volume_median_APE_all_pct,volume_MAPE_supported_pct,volume_median_APE_supported_pct
all_links,12,11,91.66666666666666,2.194713627313947,48.12346033755179,15.658712523108132,21.548711860057136,15.577795516566823
L405S-012_AM,4,4,100.0,1.707226505584189,18.743053030449083,15.658712523108132,18.743053030449083,15.658712523108132
L405S-018_PM,4,3,75.0,3.5674748049305354,99.24865483669413,22.21623130063073,18.849641918927798,13.4391182599649
L405S-115_AM,4,4,100.0,1.3094395714271179,26.37867314551218,22.795641640418804,26.37867314551218,22.795641640418804
