period,bins,observed_arrival_volume_veh,inferred_arrival_volume_veh,closure_error_veh,closure_error_pct,service_volume_veh,observed_discharge_volume_veh,queue_at_period_start_veh,queue_at_period_end_veh
NT1,72,10880.85506285714,10889.5,8.644937142860726,0.07945089878433417,10889.5,10943.0,0.0,0.0
AM,36,28494.418611657136,29119.425199911522,625.0065882543859,2.193435131182828,29003.0,28702.0,0.0,116.47159447705795
MD,72,46458.487219657145,47878.57480008848,1420.0875804313328,3.05668063128512,47995.0,47899.0,116.42519991152054,0.0
PM,48,30217.357548342858,32860.0,2642.6424516571424,8.74544522110957,32860.0,32941.0,0.0,0.0
NT2,60,19680.527869714275,19916.0,235.47213028572514,1.1964726344971954,19916.0,19895.0,0.0,0.0
