timestamp_la,time_bin,period,episode_id,observed_speed_mph,smoothed_speed_mph,baseline_free_speed_mph,observed_arrival_vph,count_reference_lambda_vph,inferred_lambda_vph,reference_mu_vph,observed_discharge_vph,speed_delay_diagnostic_queue_veh,cumulative_count_gap_veh,count_queue_raw_veh,count_queue_drift_corrected_veh,count_reference_queue_veh,forward_queue_veh,forward_outflow_vph,reconstructed_speed_mph,upstream_pct_observed,ramp_pct_observed,downstream_pct_observed
2025-07-29 00:00:00-07:00,0,NT1,0,70.2,70.35,68.7081293148135,1164.0,1164.0,1362.0,1362.0,1440.0,0.0,0.0,,,0.0,0.0,1362.0,68.7081293148135,100.0,100.0,100.0
2025-07-29 00:05:00-07:00,1,NT1,0,70.5,70.5,68.83356326497432,1042.3358482285714,1042.3358482285714,1284.0,1284.0,1284.0,0.0,-23.0,,,0.0,0.0,1284.0,68.83356326497432,80.0,100.0,100.0
2025-07-29 00:10:00-07:00,2,NT1,0,70.8,70.5,68.95162161238164,1000.0610633142857,1000.0610633142857,1188.0,1188.0,1188.0,0.0,-43.13867931428571,,,0.0,0.0,1188.0,68.95162161238164,80.0,100.0,100.0
2025-07-29 00:15:00-07:00,3,NT1,0,70.3,70.3,69.06244303226178,1119.8778733714284,1119.8778733714284,1188.0,1188.0,948.0,0.0,-58.80025737142857,,,0.0,0.0,1188.0,69.06244303226178,80.0,100.0,100.0
2025-07-29 00:20:00-07:00,4,NT1,0,69.5,70.3,69.16616520467356,1133.7252150857144,1133.7252150857144,1080.0,1080.0,1284.0,0.0,-44.47710125714287,,,0.0,0.0,1080.0,69.16616520467356,80.0,100.0,100.0
2025-07-29 00:25:00-07:00,5,NT1,0,71.9,70.8,69.2629248145084,1182.0915949714285,1182.0915949714285,1236.0,1236.0,1080.0,0.0,-57.00000000000001,,,0.0,0.0,1236.0,69.2629248145084,80.0,100.0,100.0
2025-07-29 00:30:00-07:00,6,NT1,0,70.8,70.8,69.35285755149029,1173.7862784,1173.7862784,1080.0,1080.0,1236.0,0.0,-48.49236708571429,,,0.0,0.0,1080.0,69.35285755149029,80.0,100.0,100.0
2025-07-29 00:35:00-07:00,7,NT1,0,68.9,70.3,69.43609811017582,1198.1526582857143,1198.1526582857143,1176.0,1176.0,1056.0,0.0,-53.6768438857143,,,0.0,0.0,1176.0,69.43609811017582,80.0,100.0,100.0
2025-07-29 00:40:00-07:00,8,NT1,0,70.3,69.1,69.51278018995411,1040.3053165714286,1040.3053165714286,1152.0,1152.0,1176.0,0.0,-41.83078902857144,,,0.0,0.0,1152.0,69.51278018995411,80.0,100.0,100.0
2025-07-29 00:45:00-07:00,9,NT1,0,69.1,70.1,69.58303649504691,1034.030531657143,1034.030531657143,1176.0,1176.0,1152.0,0.0,-53.13867931428572,,,0.0,0.0,1176.0,69.58303649504691,100.0,100.0,100.0
