link_id,date,period,bins,bins_below_cutoff,bins_below_unfiltered,cutoff_mph,capacity_vph,D_counts,D_speed,D_counts_unfiltered,D_speed_unfiltered,V_counts,V_speed
L405S-005,2025-06-16,NT,60,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,17792.0,28650.56015576918
L405S-005,2025-06-17,AM,36,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,22519.0,22076.734839002038
L405S-005,2025-06-17,MD,72,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,35083.0,32304.662397409375
L405S-005,2025-06-17,PM,48,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,6026.0,18366.246790260768
L405S-005,2025-06-17,NT,60,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,17998.0,26306.421700804563
L405S-005,2025-06-18,AM,36,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,22820.0,22531.326687004654
L405S-005,2025-06-18,MD,72,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,37209.0,37111.21850820446
L405S-005,2025-06-18,PM,48,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,7029.0,20525.374613298485
L405S-005,2025-06-18,NT,60,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,16270.0,25533.077153861697
L405S-005,2025-06-19,AM,36,0,4,49.91,10334.640000000003,0.0,0.0,2328.0,2618.631495090257,24186.0,23001.170729383826
L405S-005,2025-06-19,MD,72,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,36694.0,28224.0369477341
L405S-005,2025-06-19,PM,48,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,8704.0,12463.085596028952
L405S-005,2025-06-19,NT,60,6,8,49.91,10334.640000000003,2017.0,3854.4233538788067,3347.0,5239.812881080465,14728.0,30707.51862030854
L405S-005,2025-06-20,AM,36,12,12,49.91,10334.640000000003,5659.0,6492.798637122154,5659.0,6492.798637122154,21653.0,22155.05893817951
L405S-005,2025-06-20,MD,72,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,39804.0,32232.581086516017
L405S-005,2025-06-20,PM,48,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,8894.0,20527.172125469187
L405S-005,2025-06-20,NT,60,0,0,49.91,10334.640000000003,0.0,0.0,0.0,0.0,8556.0,28386.809611284832
L405S-012,2025-06-16,AM,36,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,15516.0,18886.548719330636
L405S-012,2025-06-16,MD,72,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,24715.0,33273.25379589859
L405S-012,2025-06-16,PM,48,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,4605.0,20199.08310933579
L405S-012,2025-06-16,NT,60,0,3,47.74,7898.640000000003,0.0,0.0,1945.0,1736.9923488026723,13843.0,27435.984520232854
L405S-012,2025-06-17,AM,36,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,16048.0,17971.752430112403
L405S-012,2025-06-17,MD,72,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,25200.0,28622.768069811093
L405S-012,2025-06-17,PM,48,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,4529.0,15085.88992967285
L405S-012,2025-06-17,NT,60,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,13897.0,25965.03118911369
L405S-012,2025-06-18,AM,36,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,15664.0,17565.88154109874
L405S-012,2025-06-18,MD,72,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,26810.0,26758.043538092978
L405S-012,2025-06-18,PM,48,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,5068.0,15715.209506975345
L405S-012,2025-06-18,NT,60,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,12196.0,20764.07182534733
L405S-012,2025-06-19,AM,36,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,16444.0,17973.857175900834
L405S-012,2025-06-19,MD,72,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,26177.0,23602.434199946445
L405S-012,2025-06-19,PM,48,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,6380.0,11549.67487929028
L405S-012,2025-06-19,NT,60,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,11868.0,22170.69962089246
L405S-012,2025-06-20,AM,36,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,15926.0,16712.40529217272
L405S-012,2025-06-20,MD,72,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,28356.0,29107.60797018231
L405S-012,2025-06-20,PM,48,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,6600.0,15338.249274023916
L405S-012,2025-06-20,NT,60,0,0,47.74,7898.640000000003,0.0,0.0,0.0,0.0,6562.0,24486.938829276238
L405S-014,2025-06-16,PM,24,0,4,49.349999999999994,8255.46,0.0,0.0,191.0,2061.9521965075783,1073.0,8685.077016696187
L405S-014,2025-06-16,NT,60,0,2,49.349999999999994,8255.46,0.0,0.0,78.0,1042.6437210503354,10467.0,22087.823225188866
L405S-014,2025-06-17,AM,36,0,0,49.349999999999994,8255.46,0.0,0.0,0.0,0.0,21004.0,16452.27716687599
L405S-014,2025-06-17,MD,72,18,18,49.349999999999994,8255.46,9581.0,6376.016546717672,9581.0,6376.016546717672,33730.0,26124.007504903017
L405S-014,2025-06-17,PM,24,0,0,49.349999999999994,8255.46,0.0,0.0,0.0,0.0,4461.0,9207.309652008531
L405S-020,2025-06-16,AM,36,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,21433.0,22193.486487005877
L405S-020,2025-06-16,MD,72,0,2,50.33,9184.980000000003,0.0,0.0,1283.0,1266.9434639015928,34439.0,41205.64486814777
L405S-020,2025-06-16,PM,48,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,4887.0,21188.619315205506
L405S-020,2025-06-16,NT,60,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,15106.0,22232.104127968698
L405S-020,2025-06-17,AM,36,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,22029.0,20536.24273595525
L405S-020,2025-06-17,MD,72,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,35186.0,35132.21222437865
L405S-020,2025-06-17,PM,48,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,5643.0,16669.848722255243
L405S-020,2025-06-17,NT,60,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,15364.0,23710.446800961665
L405S-020,2025-06-18,AM,36,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,22003.0,21047.377581730827
L405S-020,2025-06-18,MD,72,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,37254.0,36789.212270052914
L405S-020,2025-06-18,PM,48,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,6170.0,18601.723587250854
L405S-020,2025-06-18,NT,60,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,13183.0,19016.798908275112
L405S-020,2025-06-19,AM,36,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,23267.0,21504.538760366882
L405S-020,2025-06-19,MD,72,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,36707.0,35926.20240510335
L405S-020,2025-06-19,PM,48,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,7554.0,9999.544560893875
L405S-020,2025-06-19,NT,60,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,13216.0,20833.468631891104
L405S-020,2025-06-20,AM,36,6,6,50.33,9184.980000000003,3482.0,3684.4248870670735,3482.0,3684.4248870670735,21963.0,21217.376633861633
L405S-020,2025-06-20,MD,72,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,39215.0,34590.70375349288
L405S-020,2025-06-20,PM,48,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,8612.0,20072.302773279698
