clock_min,queue_min_veh,queue_median_veh,queue_max_veh
360,0.0,0.0,0.0
365,11.59393695698077,21.278148941080417,38.53998424033064
370,3.6631181892360765,34.61102969994511,56.650910272153844
375,0.0,38.66817717986396,57.72380491419486
380,0.0,35.71005724988193,50.812878369984446
385,0.0,16.47705749791866,47.71556277108948
390,35.473878537408986,53.61051808279914,77.53145705617968
395,64.16631269984539,82.65969219541473,104.55487773373275
400,87.87802977823927,110.42883257022643,129.56258199501113
405,108.08559713618477,133.25597434911913,153.1471010473956
410,125.94142220994011,153.57910999525865,175.71674011438532
415,142.27375250842715,172.49962561200854,197.4955784355972
420,157.5866756132319,190.05400606295274,218.52346926676682
425,172.06011917860445,206.75035976939088,238.65603987974782
430,185.60685627500465,222.60280476105092,257.6029867467698
435,198.10052676328613,237.03900998749674,275.0812562774701
440,209.43264263824216,249.9043672561627,291.0641330551334
445,219.51258802860588,261.0782649932371,305.42930302857604
450,228.26761919705004,270.47408824366147,317.5552237007082
455,235.64286454018696,278.0392186711306,327.3174218706401
460,241.60132458856881,283.75503455809303,334.65240210839136
465,246.1238720066872,287.6369108057503,339.5576467548916
470,249.20925159297397,290.80440237764844,342.09415153466836
475,250.8740802798003,292.64777634232644,343.09848772160603
480,251.1528471334767,292.0139442929035,342.13619473390764
485,250.09791335425436,289.01484072001574,339.3796701978664
490,247.77890814082446,286.8739655350258,335.0386602828836
495,244.2803121483263,282.9612533146802,329.3274733872437
500,239.7008533528469,277.41136637035163,322.4567835595553
505,234.1535070514221,270.96480824291564,314.63363049875346
510,227.76549586203643,263.7759569525764,306.06141955409834
515,220.67828972362256,256.0052481281801,296.9399217251757
520,213.04760589606195,247.8191750072151,287.4652736618965
525,205.0434089601843,239.07723306237494,277.8299776644973
530,196.84991081776812,229.70170284395715,268.22290168354033
535,188.66557069154032,221.4632386621809,258.8292793199132
540,180.7030951251761,212.20635959220056,249.83070982482855
545,173.18943798329965,204.77304338063558,241.4051580998249
550,166.34705116359214,198.49671346631587,233.85773147990048
555,160.31888744522917,191.38343080964353,227.48115383092053
560,155.14965120098873,184.88724766636136,221.63429658234276
565,150.78579839725185,179.82969118023067,216.17251668831122
570,147.0755365940027,176.02633894924605,210.878008491037
575,143.76882494482803,173.13179566774375,205.45980372079876
580,140.5173741969176,169.69572671824284,200.3229356962315
585,136.8746466910639,165.1070183442166,194.39748189102568
590,132.29585636166263,160.00379433475177,187.06939332510012
595,126.1379687367123,152.90989842704408,177.63077661476044
600,117.65970093781385,142.01965969652167,165.27571349458316
605,106.02152168017193,128.17853628418243,149.1002608174168
610,90.28858359684172,109.81991869616903,128.08863406793876
615,69.44245253572464,84.35094798525293,101.05794141689034
620,41.63299973998065,52.70258811521599,66.64436723463352
625,0.0,14.00905242273761,25.731499897170593
630,0.0,0.0,3.552713678800501e-14
635,0.0,0.0,3.552713678800501e-14
640,0.0,0.0,3.552713678800501e-14
645,0.0,0.0,3.552713678800501e-14
650,0.0,0.0,3.552713678800501e-14
655,0.0,0.0,3.552713678800501e-14
660,0.0,0.0,3.552713678800501e-14
665,0.0,0.0,3.552713678800501e-14
670,0.0,0.0,3.552713678800501e-14
675,0.0,0.0,3.552713678800501e-14
680,0.0,0.0,3.552713678800501e-14
685,0.0,0.0,3.552713678800501e-14
690,0.0,0.0,3.552713678800501e-14
695,0.0,0.0,3.552713678800501e-14
700,0.0,0.0,3.552713678800501e-14
705,0.0,0.0,3.552713678800501e-14
710,0.0,0.0,3.552713678800501e-14
715,0.0,0.0,3.552713678800501e-14
720,0.0,0.0,3.552713678800501e-14
725,0.0,0.0,3.552713678800501e-14
730,0.0,0.0,3.552713678800501e-14
735,0.0,0.0,3.552713678800501e-14
740,0.0,0.0,3.552713678800501e-14
745,0.0,0.0,3.552713678800501e-14
750,0.0,0.0,3.552713678800501e-14
755,0.0,0.0,3.552713678800501e-14
760,0.0,0.0,3.552713678800501e-14
765,0.0,0.0,3.552713678800501e-14
770,0.0,0.0,3.552713678800501e-14
775,0.0,0.0,3.552713678800501e-14
780,0.0,0.0,0.14605707532512704
785,0.0,0.0,0.6356022987915964
790,0.0,0.0,1.014750533268412
795,0.0,0.0,0.8402950274902187
800,0.0,0.0,3.552713678800501e-14
805,0.0,0.0,3.552713678800501e-14
810,0.0,0.0,1.1157402427466725
815,0.0,0.4518868099157463,3.988462883914508
820,0.0,1.0314624168277078,12.509206153024934
825,0.0,0.9478246530220531,22.926401480707984
830,0.0,3.7471643724570436,32.99643297559775
835,0.0,8.996480419039282,40.8678971815854
840,0.0,11.78856516812713,45.08160307781827
845,0.0,16.832264675914832,44.9519168962851
850,0.0,24.835079076550187,52.25785238251
855,0.0,21.461861601797036,56.97788054692909
860,0.0,6.181665178639111,58.54611357693465
865,39.5694964243277,51.00857714773838,91.83158057916565
870,73.00888354606514,92.73414074748726,124.18690236572243
875,100.64976039369549,125.18669634928509,152.4952448119772
880,122.86180292654672,150.96527823362763,176.2454529605796
885,140.05276403479184,168.698543605952,194.8818433739743
890,152.66847353944877,181.5160204785281,209.58856204773625
895,161.19283819238066,191.10299113091827,220.08924787839683
900,166.14784167629477,195.914367671841,225.2809423565508
905,168.09354460474432,196.97463649072523,226.04968981143807
910,167.61333256100693,195.46725274318652,224.79485422287797
915,165.25490825360757,191.57797005365214,222.2201110723792
920,161.5155395551977,186.4808265116718,218.21549895433802
925,156.84205950255637,180.1499045407408,213.6104947225295
930,151.6308662965897,173.49018391526317,208.28125557810674
935,146.2279233023306,167.18271199124666,202.6011408868954
940,140.92875904893913,161.68691045338318,196.8949348721381
945,135.97846722970257,157.42465643459573,191.4388466144941
950,131.57170670203527,153.47747035455632,186.46051005203972
955,127.85270148747873,150.88905330973915,182.41448820415644
960,124.91524077170114,147.97430922259272,179.56914824776626
965,122.80267890449832,148.08745256313614,177.64788030671951
970,121.5136449971732,149.46527502329667,176.62672035889017
975,121.02488131205949,151.24513344809625,176.45966348016876
980,121.29695285990077,152.4873833214511,177.08639317409177
985,122.27424739985189,154.27561598984283,178.43228137184335
990,123.8849754394783,156.48278056373994,180.4083884322542
995,126.04117023475591,158.9842058024464,182.91146314180216
1000,128.6386877900714,161.65760011410208,185.82394271461155
1005,131.55720685822195,164.06666297892633,189.01395279245395
1010,134.6602289404158,164.99671663852803,192.33530744474766
1015,137.79507828627166,167.23730455887065,195.62750916855816
1020,140.79290189381868,167.87248498547342,198.71574888859695
1025,143.46866950949735,168.91178949604546,201.41090595722375
1030,145.63246695222225,169.66950631330968,203.52110879964852
1035,147.13466940964128,170.21900549979665,204.8979774947518
1040,147.87723476219827,170.3568365887045,205.44818442028716
1045,147.8137035831343,169.81465433514592,205.2397865238526
1050,146.48812594497213,168.60138465205156,204.25552710466997
1055,144.57383435600136,166.88042740814595,202.33236590028392
1060,143.09567698057637,164.82693164980347,199.59884635295208
1065,140.37481926337193,162.3305772516606,196.38648664701736
1070,137.3893082727019,160.03072462864728,193.09977162492478
1075,134.40218073858762,157.77865135159902,189.8745658460153
1080,131.7280560838469,155.9432226133053,187.05796007903479
1085,129.73313642409468,154.82007287701612,185.05209739160384
1090,128.76220536683124,155.07244148517094,184.2239711254711
1095,128.84662320780023,156.14624134770634,184.54461679753413
1100,129.63132573007658,157.41829740633045,185.498910075092
1105,130.37482420406752,157.98134213808083,186.08556677584747
1110,129.94920538751214,157.4523933048841,184.8171428679056
1115,126.84013152548108,153.76321271925076,179.72003446977436
1120,119.14684035037723,142.59496242310632,168.33447785036432
1125,104.58214508193507,123.89256203822512,147.71454942898853
1130,80.47243442722126,92.8113653556239,114.42816577536315
1135,36.232875397133085,49.5243472571982,81.58339942531987
1140,0.0,0.0,2.7711215468528962
1145,0.0,0.0,2.842170943040401e-14
1150,0.0,0.0,2.842170943040401e-14
1155,0.0,0.0,2.842170943040401e-14
1160,0.0,0.0,2.842170943040401e-14
1165,0.0,0.0,2.842170943040401e-14
1170,0.0,0.0,2.842170943040401e-14
1175,0.0,0.0,2.842170943040401e-14
1180,0.0,0.0,1.4210854715202004e-14
1185,0.0,0.0,1.4210854715202004e-14
1190,0.0,0.0,1.4210854715202004e-14
1195,0.0,0.0,1.4210854715202004e-14
1200,0.0,0.0,1.4210854715202004e-14
1205,0.0,0.0,1.4210854715202004e-14
1210,0.0,0.0,1.4210854715202004e-14
1215,0.0,0.0,1.4210854715202004e-14
1220,0.0,0.0,1.4210854715202004e-14
1225,0.0,0.0,1.4210854715202004e-14
1230,0.0,0.0,1.4210854715202004e-14
1235,0.0,0.0,1.4210854715202004e-14
1240,0.0,0.0,1.4210854715202004e-14
1245,0.0,0.0,1.4210854715202004e-14
1250,0.0,0.0,1.4210854715202004e-14
1255,0.0,0.0,1.4210854715202004e-14
1260,0.0,0.0,1.4210854715202004e-14
1265,0.0,0.0,3.776099867618465
1270,0.0,0.0,5.518168500408895
1275,0.0,0.0,3.222552444113262
1280,0.0,0.0,3.5928951856037656
1285,0.0,0.0,5.482732543085072
1290,0.0,1.6653345369377348e-16,7.718490038833586
1295,0.0,2.220446049250313e-16,14.422438649192303
1300,0.0,5.551115123125783e-17,19.798680238943923
1305,0.0,0.0,22.199873618288702
1310,0.0,0.0,20.59531029432879
1315,0.0,0.0,14.57091447106746
1320,0.0,0.0,10.001749680804412
1325,0.0,0.0,7.4608222520031156
1330,0.0,0.0,3.5294572849999724
1335,0.0,0.0,0.008446462964532962
1340,0.0,0.0,1.4210854715202004e-14
1345,0.0,0.0,1.4210854715202004e-14
1350,0.0,0.0,1.4210854715202004e-14
1355,0.0,0.0,1.4210854715202004e-14
1360,0.0,0.0,1.4210854715202004e-14
1365,0.0,0.0,1.4210854715202004e-14
1370,0.0,0.0,1.4210854715202004e-14
1375,0.0,0.0,0.5980105565439923
1380,0.0,0.0,1.5846703541804648
1385,0.0,0.0,2.6591813442249466
1390,0.0,0.0,5.056007856475549
