episode_id,t0_la,T2_la,t3_la,P_h,onset_to_T2_h,T2_to_recovery_h,asymmetry_ratio,vT2_robust_mph,speed_raw_at_robust_T2_mph,T2_raw_la,vT2_raw_min_mph,free_speed_p95_mph,enter_threshold_mph,exit_threshold_mph,period_by_T2,cross_period,missing_bins_inside,quality_status,quality_flags,detection_source,T2_clock_min,T2_period
E1,2025-10-08T06:22:18.569742-04:00,2025-10-08T07:50:00-04:00,2025-10-08T10:24:46.460312-04:00,4.041080713888889,1.461508405,2.579572308888889,0.5665700472763728,16.77,19.57,2025-10-08T07:55:00-04:00,16.36,66.59649999999999,46.617549999999994,49.947374999999994,AM,True,0,accepted,,speed_only,470.0,AM
E2,2025-10-08T14:19:56.621330-04:00,2025-10-08T15:10:00-04:00,2025-10-08T18:54:04.875469-04:00,4.568959483055555,0.8342718527777778,3.734687630277778,0.22338464026125968,22.54,22.54,2025-10-08T15:15:00-04:00,21.59,66.59649999999999,46.617549999999994,49.947374999999994,PM,True,0,accepted,,speed_only,910.0,PM
