link_id,local_date,episode_id,t0_la,T2_la,t3_la,P_h,onset_to_T2_h,T2_to_recovery_h,asymmetry_ratio,vT2_robust_mph,speed_raw_at_robust_T2_mph,T2_raw_la,vT2_raw_min_mph,free_speed_p95_mph,enter_threshold_mph,exit_threshold_mph,period_by_T2,cross_period,missing_bins_inside,quality_status,quality_flags,detection_source,multiple_episode_day
L405S-012,2025-06-02,L405S-012-2025-06-02-E1,2025-06-02T06:54:49.354838-07:00,2025-06-02T08:25:00-07:00,2025-06-02T09:13:23.804347-07:00,2.3095693080555555,1.5029569894444443,0.806612318611111,1.8632953585836065,32.3,32.3,2025-06-02T08:30:00-07:00,31.600000000000005,68.3,47.809999999999995,51.224999999999994,AM,False,0,accepted,,speed_only,False
L405S-012,2025-06-03,L405S-012-2025-06-03-E1,2025-06-03T06:41:15.762711-07:00,2025-06-03T08:25:00-07:00,2025-06-03T09:58:31.874999-07:00,3.287808968888889,1.7289548024999999,1.5588541663888889,1.1091190181729134,22.5,21.2,2025-06-03T08:25:00-07:00,21.2,68.3,47.809999999999995,51.224999999999994,AM,False,0,accepted,,speed_only,True
L405S-012,2025-06-03,L405S-012-2025-06-03-E2,2025-06-03T17:23:17.294117-07:00,2025-06-03T17:30:00-07:00,2025-06-03T17:48:57.828947-07:00,0.4279263416666667,0.11186274527777777,0.31606359638888887,0.35392480043839136,29.500000000000004,29.500000000000004,2025-06-03T17:35:00-07:00,23.4,68.3,47.809999999999995,51.224999999999994,PM,False,0,accepted,,speed_only,True
L405S-012,2025-06-04,L405S-012-2025-06-04-E1,2025-06-04T07:05:16.027397-07:00,2025-06-04T08:20:00-07:00,2025-06-04T09:33:32.234042-07:00,2.4711685125000002,1.2455479452777778,1.2256205672222222,1.0162590108133707,27.800000000000004,26.0,2025-06-04T08:35:00-07:00,23.3,68.3,47.809999999999995,51.224999999999994,AM,False,0,accepted_with_flags,raw_robust_t2_disagree,speed_only,False
L405S-012,2025-06-05,L405S-012-2025-06-05-E1,2025-06-05T06:56:38.571428-07:00,2025-06-05T08:40:00-07:00,2025-06-05T09:42:11.249999-07:00,2.7590773808333333,1.7226190477777776,1.0364583330555557,1.662024408351631,22.9,21.700000000000003,2025-06-05T07:55:00-07:00,21.700000000000003,68.3,47.809999999999995,51.224999999999994,AM,False,0,accepted_with_flags,raw_robust_t2_disagree,speed_only,False
L405S-018,2025-06-02,L405S-018-2025-06-02-E1,2025-06-02T17:16:03-07:00,2025-06-02T17:25:00-07:00,2025-06-02T17:37:31.315789-07:00,0.3578654969444444,0.14916666666666667,0.20869883027777777,0.7147460599952865,43.9,42.8,2025-06-02T17:25:00-07:00,42.8,68.5,47.949999999999996,51.375,PM,False,0,accepted,,speed_only,False
L405S-018,2025-06-03,L405S-018-2025-06-03-E1,2025-06-03T07:55:57.352941-07:00,2025-06-03T08:10:00-07:00,2025-06-03T09:24:49.285714-07:00,1.4810924369444445,0.23406862750000001,1.2470238094444444,0.18770181108593173,43.300000000000004,41.7,2025-06-03T08:10:00-07:00,41.7,68.5,47.949999999999996,51.375,AM,False,0,accepted,,speed_only,True
L405S-018,2025-06-03,L405S-018-2025-06-03-E2,2025-06-03T16:18:03.802816-07:00,2025-06-03T17:15:00-07:00,2025-06-03T18:33:39.736842-07:00,2.259981673888889,0.9489436622222223,1.3110380116666667,0.7238109450509911,27.500000000000004,29.9,2025-06-03T17:10:00-07:00,25.600000000000005,68.5,47.949999999999996,51.375,PM,False,0,accepted,,speed_only,True
L405S-018,2025-06-04,L405S-018-2025-06-04-E1,2025-06-04T17:14:24.473684-07:00,2025-06-04T17:30:00-07:00,2025-06-04T17:47:01.874999-07:00,0.5437225875,0.2598684211111111,0.2838541663888889,0.9154997596726602,39.2,39.2,2025-06-04T17:35:00-07:00,36.9,68.5,47.949999999999996,51.375,PM,False,0,accepted,,speed_only,False
L405S-018,2025-06-05,L405S-018-2025-06-05-E1,2025-06-05T07:32:33.750000-07:00,2025-06-05T08:40:00-07:00,2025-06-05T09:40:26.162790-07:00,2.131225775,1.1239583333333334,1.0072674416666667,1.1158489660636555,41.0,40.8,2025-06-05T07:55:00-07:00,40.0,68.5,47.949999999999996,51.375,AM,False,0,accepted_with_flags,raw_robust_t2_disagree,speed_only,True
L405S-018,2025-06-05,L405S-018-2025-06-05-E2,2025-06-05T17:25:09.375000-07:00,2025-06-05T17:40:00-07:00,2025-06-05T17:54:32.794117-07:00,0.48983864361111107,0.24739583333333334,0.24244281027777778,1.0204296553479175,41.5,41.5,2025-06-05T17:45:00-07:00,36.5,68.5,47.949999999999996,51.375,PM,False,0,accepted,,speed_only,True
L405S-028,2025-06-03,L405S-028-2025-06-03-E1,2025-06-03T06:56:12.711864-07:00,2025-06-03T07:10:00-07:00,2025-06-03T07:57:54.999999-07:00,1.0284133708333332,0.22980226,0.7986111108333334,0.2877523952305226,43.300000000000004,44.2,2025-06-03T07:15:00-07:00,43.00000000000001,69.1,48.36999999999999,51.824999999999996,AM,False,0,accepted,,speed_only,True
L405S-028,2025-06-03,L405S-028-2025-06-03-E2,2025-06-03T15:58:23.653846-07:00,2025-06-03T16:50:00-07:00,2025-06-03T18:24:48.157894-07:00,2.4401400133333335,0.8600961538888888,1.5800438594444444,0.5443495436837464,35.7,41.20000000000001,2025-06-03T16:45:00-07:00,35.5,69.1,48.36999999999999,51.824999999999996,PM,False,0,accepted,,speed_only,True
L405S-028,2025-06-04,L405S-028-2025-06-04-E1,2025-06-04T06:42:27.931034-07:00,2025-06-04T07:10:00-07:00,2025-06-04T08:22:56.562499-07:00,1.674619851388889,0.45890804611111113,1.2157118052777778,0.377480949118739,38.4,38.4,2025-06-04T07:30:00-07:00,38.0,69.1,48.36999999999999,51.824999999999996,AM,False,0,accepted_with_flags,raw_robust_t2_disagree,speed_only,True
L405S-028,2025-06-04,L405S-028-2025-06-04-E2,2025-06-04T18:05:14.375000-07:00,2025-06-04T18:30:00-07:00,2025-06-04T19:41:30.234374-07:00,1.6044053816666666,0.4126736111111111,1.1917317705555555,0.34628061557739037,34.8,34.8,2025-06-04T18:35:00-07:00,34.6,69.1,48.36999999999999,51.824999999999996,PM,True,0,accepted,,speed_only,True
