link_id,local_date,episode_id,t0_la,T2_la,t3_la,P_h,onset_to_T2_h,T2_to_recovery_h,asymmetry_ratio,vT2_robust_mph,speed_raw_at_robust_T2_mph,T2_raw_la,vT2_raw_min_mph,free_speed_p95_mph,enter_threshold_mph,exit_threshold_mph,period_by_T2,cross_period,missing_bins_inside,quality_status,quality_flags,detection_source,multiple_episode_day,paq_object,overlap_iou,paq_xstar_link_id,strict_candidate_v1
L405S-012,2025-06-02,L405S-012-2025-06-02-E1,2025-06-02T06:54:49.354838-07:00,2025-06-02T08:25:00-07:00,2025-06-02T09:13:23.804347-07:00,2.3095693080555555,1.5029569894444443,0.806612318611111,1.8632953585836065,32.3,32.3,2025-06-02T08:30:00-07:00,31.600000000000005,68.3,47.809999999999995,51.224999999999994,AM,False,0,accepted,,speed_only,False,O4,0.6855535046343139,L405S-055,True
L405S-012,2025-06-03,L405S-012-2025-06-03-E1,2025-06-03T06:41:15.762711-07:00,2025-06-03T08:25:00-07:00,2025-06-03T09:58:31.874999-07:00,3.287808968888889,1.7289548024999999,1.5588541663888889,1.1091190181729134,22.5,21.2,2025-06-03T08:25:00-07:00,21.2,68.3,47.809999999999995,51.224999999999994,AM,False,0,accepted,,speed_only,True,O10,0.9378079330367366,L405S-012,True
L405S-018,2025-06-03,L405S-018-2025-06-03-E2,2025-06-03T16:18:03.802816-07:00,2025-06-03T17:15:00-07:00,2025-06-03T18:33:39.736842-07:00,2.259981673888889,0.9489436622222223,1.3110380116666667,0.7238109450509911,27.500000000000004,29.9,2025-06-03T17:10:00-07:00,25.600000000000005,68.5,47.949999999999996,51.375,PM,False,0,accepted,,speed_only,True,O6,0.9096594228353412,L405S-014,True
L405S-028,2025-06-03,L405S-028-2025-06-03-E2,2025-06-03T15:58:23.653846-07:00,2025-06-03T16:50:00-07:00,2025-06-03T18:24:48.157894-07:00,2.4401400133333335,0.8600961538888888,1.5800438594444444,0.5443495436837464,35.7,41.20000000000001,2025-06-03T16:45:00-07:00,35.5,69.1,48.36999999999999,51.824999999999996,PM,False,0,accepted,,speed_only,True,O24,0.7916085197758064,L405S-112,True
L405S-028,2025-06-04,L405S-028-2025-06-04-E2,2025-06-04T18:05:14.375000-07:00,2025-06-04T18:30:00-07:00,2025-06-04T19:41:30.234374-07:00,1.6044053816666666,0.4126736111111111,1.1917317705555555,0.34628061557739037,34.8,34.8,2025-06-04T18:35:00-07:00,34.6,69.1,48.36999999999999,51.824999999999996,PM,True,0,accepted,,speed_only,True,O26,0.6232838729082257,L405S-028,True
L405S-115,2025-06-04,L405S-115-2025-06-04-E1,2025-06-04T06:31:34.500000-07:00,2025-06-04T08:00:00-07:00,2025-06-04T09:26:11.249999-07:00,2.9102083330555555,1.47375,1.4364583330555554,1.0259608413876646,12.0,11.300000000000002,2025-06-04T08:00:00-07:00,11.300000000000002,71.005,49.70349999999999,53.25375,AM,False,0,accepted,,speed_only,False,O23,0.9449495311947836,L405S-115,True
L405S-115,2025-06-05,L405S-115-2025-06-05-E1,2025-06-05T06:32:49.586065-07:00,2025-06-05T07:55:00-07:00,2025-06-05T09:11:19.295454-07:00,2.6415859413888887,1.3695594263888888,1.272026515,1.0766752188250484,11.4,11.4,2025-06-05T08:00:00-07:00,10.6,71.005,49.70349999999999,53.25375,AM,False,0,accepted,,speed_only,False,O12,0.7757524558926961,L405S-108,True
