link_id,speed_episode_id,paq_object,match_status,overlap_iou,overlap_min,speed_t0_la,speed_T2_la,speed_t3_la,speed_P_h,paq_t0_la,paq_T2_target_speed_la,paq_t3_la,paq_P_h,paq_target_vT2_mph,delta_t0_min,delta_T2_min,delta_t3_min,delta_P_min,paq_xstar_link_id,paq_range_link_ids
L405S-028,L405S-028-2025-06-03-E1,,speed_only,,,2025-06-03T06:56:12.711864-07:00,2025-06-03T07:10:00-07:00,2025-06-03T07:57:54.999999-07:00,1.0284133708333332,,,,,,,,,,,
L405S-030,L405S-030-2025-06-03-E1,O23,matched,0.46981273047619043,49.3303367,2025-06-03T06:58:35.720338-07:00,2025-06-03T07:20:00-07:00,2025-06-03T07:47:55.540540-07:00,0.8221722783333333,2025-06-03T06:50:00-07:00,2025-06-03T07:20:00-07:00,2025-06-03T08:35:00-07:00,1.75,38.675000000000004,8.595338966666667,0.0,-47.07432433333334,-55.6696633,L405S-112,L405S-023;L405S-024;L405S-030;L405S-112;L405S-127
L405S-030,L405S-030-2025-06-04-E1,O23,matched,0.3430022874747475,56.59537743333333,2025-06-04T06:49:56.166666-07:00,2025-06-04T07:25:00-07:00,2025-06-04T07:46:31.889312-07:00,0.9432562905555556,2025-06-04T06:40:00-07:00,2025-06-04T07:25:00-07:00,2025-06-04T09:25:00-07:00,2.75,42.275,9.9361111,0.0,-98.46851146666667,-108.40462256666667,L405S-115,L405S-023;L405S-024;L405S-028;L405S-030;L405S-112;L405S-114;L405S-115;L405S-127;L405S-132
L405S-030,L405S-030-2025-06-02-E1,,speed_only,,,2025-06-02T07:37:18.883928-07:00,2025-06-02T08:00:00-07:00,2025-06-02T08:21:06.240875-07:00,0.7298213741666667,,,,,,,,,,,
L405S-030,,O12,paq_only,,,,,,,2025-06-02T11:10:00-07:00,2025-06-02T11:20:00-07:00,2025-06-02T23:55:00-07:00,12.75,49.75,,,,,L405S-030,L405S-030
L405S-030,,O12,paq_only,,,,,,,2025-06-05T06:50:00-07:00,2025-06-05T07:20:00-07:00,2025-06-05T09:35:00-07:00,2.75,45.300000000000004,,,,,L405S-108,L405S-004;L405S-005;L405S-023;L405S-024;L405S-028;L405S-030;L405S-102;L405S-108;L405S-112;L405S-114;L405S-115;L405S-117;L405S-127;L405S-132
L405S-058,L405S-058-2025-06-04-E1,O14,matched,0.8775455730257778,135.0,2025-06-04T06:59:13.043478-07:00,2025-06-04T08:20:00-07:00,2025-06-04T09:33:03.333333-07:00,2.563969404166667,2025-06-04T07:10:00-07:00,2025-06-04T08:20:00-07:00,2025-06-04T09:25:00-07:00,2.25,36.6,-10.782608699999999,0.0,8.05555555,18.83816425000002,L405S-012,L405S-012;L405S-013;L405S-052;L405S-055;L405S-058;L405S-123
L405S-058,L405S-058-2025-06-05-E1,O9,matched,0.8567197554602135,132.2463768,2025-06-05T07:05:38.181818-07:00,2025-06-05T08:35:00-07:00,2025-06-05T09:37:14.782608-07:00,2.526833552777778,2025-06-05T07:25:00-07:00,2025-06-05T08:35:00-07:00,2025-06-05T09:40:00-07:00,2.25,37.7,-19.363636366666665,0.0,-2.7536232,16.610013166666686,L405S-055,L405S-012;L405S-013;L405S-018;L405S-020;L405S-046;L405S-052;L405S-055;L405S-058;L405S-123
L405S-058,L405S-058-2025-06-03-E1,O15,matched,0.3556771545665446,60.0,2025-06-03T06:57:27.692307-07:00,2025-06-03T08:10:00-07:00,2025-06-03T09:46:09.230769-07:00,2.8115384616666668,2025-06-03T08:05:00-07:00,2025-06-03T08:10:00-07:00,2025-06-03T09:05:00-07:00,1.0,43.10000000000001,-67.53846155000001,0.0,41.15384615,108.6923077,L405S-058,L405S-058
L405S-058,L405S-058-2025-06-04-E2,,speed_only,,,2025-06-04T22:58:23.142857-07:00,2025-06-04T23:50:00-07:00,2025-06-04T23:57:30.485436-07:00,0.9853729386111111,,,,,,,,,,,
L405S-115,L405S-115-2025-06-04-E1,O23,matched,0.9449495311947836,165.0,2025-06-04T06:31:34.500000-07:00,2025-06-04T08:00:00-07:00,2025-06-04T09:26:11.249999-07:00,2.9102083330555555,2025-06-04T06:40:00-07:00,2025-06-04T08:00:00-07:00,2025-06-04T09:25:00-07:00,2.75,12.0,-8.425,0.0,1.1874999833333333,9.61249998333333,L405S-115,L405S-023;L405S-024;L405S-028;L405S-030;L405S-112;L405S-114;L405S-115;L405S-127;L405S-132
L405S-115,L405S-115-2025-06-03-E1,O17,matched,0.9067442904465549,195.0,2025-06-03T06:23:34.847014-07:00,2025-06-03T08:00:00-07:00,2025-06-03T09:58:38.154069-07:00,3.584251959722222,2025-06-03T06:40:00-07:00,2025-06-03T08:00:00-07:00,2025-06-03T09:55:00-07:00,3.25,10.800000000000002,-16.419216433333336,0.0,3.63590115,20.055117583333335,L405S-108,L405S-108;L405S-114;L405S-115;L405S-132
L405S-115,L405S-115-2025-06-05-E1,O12,matched,0.7757524558926961,141.3215909,2025-06-05T06:32:49.586065-07:00,2025-06-05T07:55:00-07:00,2025-06-05T09:11:19.295454-07:00,2.6415859413888887,2025-06-05T06:50:00-07:00,2025-06-05T07:55:00-07:00,2025-06-05T09:35:00-07:00,2.75,11.4,-17.173565583333335,0.0,-23.6784091,-6.5048435166666785,L405S-108,L405S-004;L405S-005;L405S-023;L405S-024;L405S-028;L405S-030;L405S-102;L405S-108;L405S-112;L405S-114;L405S-115;L405S-117;L405S-127;L405S-132
L405S-115,L405S-115-2025-06-02-E1,O8,matched,0.48805501022187187,75.07072368333334,2025-06-02T06:36:11.033333-07:00,2025-06-02T07:30:00-07:00,2025-06-02T07:55:04.243421-07:00,1.31478058,2025-06-02T06:40:00-07:00,2025-06-02T07:30:00-07:00,2025-06-02T09:10:00-07:00,2.5,24.1,-3.816111116666667,0.0,-74.92927631666666,-71.1131652,L405S-108,L405S-108;L405S-112;L405S-114;L405S-115;L405S-132
L405S-115,L405S-115-2025-06-02-E2,,speed_only,,,2025-06-02T08:17:39.150000-07:00,2025-06-02T08:50:00-07:00,2025-06-02T09:11:52.755681-07:00,0.9037793558333332,,,,,,,,,,,
