link_id,period,D_source,mu_source,D_mean_vph,D_p95_vph,D_peak_1h_vph,D_reference_window,mu_vph,samples,congested_days,days_observed,congested_candidate_n,period_sample_n,capacity_vph_effective,capacity_source
L405S-030,AM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,7541.400000000001,7982.16,7728.599999999999,1h_rolling_peak,6141.0,48,0,5,0,240,10860.0,fd_parameters_link_median
L405S-030,MD,observed_upstream_mainline,daily_period_median_fallback_no_congestion,5842.9400000000005,7913.22,7761.2,1h_rolling_peak,4293.0,60,0,5,0,300,10860.0,fd_parameters_link_median
L405S-030,NT1,observed_upstream_mainline,daily_congested_median_across_weekdays,7299.650000000001,7934.52,7693.900000000001,1h_rolling_peak,6093.0,72,3,5,9,360,10860.0,fd_parameters_link_median
L405S-030,NT2,observed_upstream_mainline,daily_period_median_fallback_no_congestion,3274.36,9053.640000000001,8249.1,1h_rolling_peak,1806.0,60,0,5,0,300,10860.0,fd_parameters_link_median
L405S-030,PM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,1747.875,3122.4,2942.7000000000003,1h_rolling_peak,1504.5,48,0,5,0,240,10860.0,fd_parameters_link_median
L405S-058,AM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,6784.8,7227.66,7119.0,1h_rolling_peak,7044.0,48,0,5,0,240,13380.0,fd_parameters_link_median
L405S-058,MD,observed_upstream_mainline,daily_period_median_fallback_no_congestion,5286.7,6455.58,6265.799999999999,1h_rolling_peak,5412.0,60,0,5,1,300,13380.0,fd_parameters_link_median
L405S-058,NT1,observed_upstream_mainline,daily_congested_median_across_weekdays,6359.416666666667,6922.5,6859.5,1h_rolling_peak,7674.0,72,3,5,32,360,13380.0,fd_parameters_link_median
L405S-058,NT2,observed_upstream_mainline,daily_period_median_fallback_no_congestion,2696.98,6731.279999999999,6148.100000000001,1h_rolling_peak,2814.0,60,0,5,0,300,13380.0,fd_parameters_link_median
L405S-058,PM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,1789.1000000000001,3296.46,2888.2000000000003,1h_rolling_peak,2082.0,48,0,5,1,240,13380.0,fd_parameters_link_median
L405S-098,AM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,5938.400000000001,6379.2,6296.0,1h_rolling_peak,6024.0,48,0,5,0,240,6660.0,fd_parameters_link_median
L405S-098,MD,observed_upstream_mainline,daily_period_median_fallback_no_congestion,4674.04,6425.400000000001,6293.400000000001,1h_rolling_peak,4476.0,60,0,5,0,300,6660.0,fd_parameters_link_median
L405S-098,NT1,observed_upstream_mainline,daily_period_median_fallback_no_congestion,5169.5,6063.24,5905.0,1h_rolling_peak,5154.0,72,0,5,0,360,6660.0,fd_parameters_link_median
L405S-098,NT2,observed_upstream_mainline,daily_period_median_fallback_no_congestion,1746.48,5222.16,4311.4,1h_rolling_peak,1056.0,60,0,5,0,300,6660.0,fd_parameters_link_median
L405S-098,PM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,1309.0,2715.12,2508.4,1h_rolling_peak,930.0,48,0,5,0,240,6660.0,fd_parameters_link_median
L405S-115,AM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,5632.675,6078.36,5832.5,1h_rolling_peak,6612.0,48,0,5,0,240,10836.0,fd_parameters_link_median
L405S-115,MD,observed_upstream_mainline,daily_period_median_fallback_no_congestion,4299.08,5923.62,5771.5,1h_rolling_peak,4896.0,60,0,5,0,300,10836.0,fd_parameters_link_median
L405S-115,NT1,observed_upstream_mainline,daily_congested_median_across_weekdays,5010.4,5722.98,5398.2,1h_rolling_peak,4476.0,72,4,5,70,360,10836.0,fd_parameters_link_median
L405S-115,NT2,observed_upstream_mainline,daily_congested_median_across_weekdays,2515.82,6437.999999999999,5983.799999999999,1h_rolling_peak,1992.0,60,2,5,6,300,10836.0,fd_parameters_link_median
L405S-115,PM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,1388.8500000000001,2360.46,2239.0,1h_rolling_peak,1296.0,48,0,5,0,240,10836.0,fd_parameters_link_median
