link_id,tmc_id,lanes,n_rows,s3_mae_vehph,s3_rmse_vehph,s3_mape_pct,s3_r2,tri_mae_vehph,tri_rmse_vehph,tri_mape_pct,tri_r2,max_queue_veh,queue_end_veh
L405S-061,1201350,6.0,288,723.122984245762,949.8467785089709,44.70591750311741,0.7982997827542055,5346.211233479382,5752.45003939209,384.913411321896,-6.397840587548578,8070.599999999973,112.40000000000003
L405S-001,1222782,5.0,288,720.4037767738125,991.4120680663622,54.428022598064416,0.6877007870623132,2237.7549311235325,2856.6897543434497,167.38538078498013,-1.5929171597856389,8892.4,38.000000000000114
L405S-020,1201419,6.0,288,875.8916551060871,1280.7252810952887,44.02831720349417,0.7721170785455571,47158.64280031655,47238.69692084282,2035.6797536497286,-309.02422590084257,11253.20000000004,101.79999999999995
L405S-012,1214081,6.0,288,907.6692627829838,1296.5255006024142,87.6044405903649,0.6128573439149776,2775.6763798655866,3436.8943268475737,225.9737781741006,-1.7204531904674538,6392.5999999999985,65.20000000000005
L405S-110,1223081,2.0,288,1037.4212891951906,1460.3016263929428,77.27504729698924,0.6218838436781571,26264.931765081365,26372.943334820953,1144.4327801059749,-122.32675374612924,37734.40000000015,30510.600000000184
L405S-001,1223027,5.0,288,1013.9097260443327,1481.018076182925,56.88183178310965,0.5998044306155728,2324.9431382531748,3275.1738616298894,181.67040462442603,-0.9571327143127042,12171.999999999985,206.9999999999999
L405S-055,1214209,6.0,288,1055.7592421906756,1528.7227082386762,49.56141254712423,0.6614664792240117,27153.43842729829,27288.900065552687,1116.3205699506414,-106.87388160446389,7877.800000000012,30.199999999999932
L405S-123,1201469,5.0,288,1117.346082706485,1564.2449166900683,90.37039339533217,0.5441831283448715,42704.66256127607,42771.08233592318,1929.5735034158038,-339.7857074888567,6575.399999999996,95.40000000000009
L405S-108,1201653,2.0,288,1154.8259130582107,1617.4961088759464,110.10106168285351,0.4708321014231347,5929.84364096225,6337.33254785688,382.85623419775163,-7.123066250196066,30373.40000000007,22402.200000000143
L405S-108,1222728,2.0,288,1107.5801307350075,1665.941015901835,107.0371666590396,0.6437173635799287,3312.5584249582057,4325.999764657714,260.1750094791442,-1.4024170354432717,52534.599999999606,52534.599999999606
L405S-004,1201525,8.0,288,1299.2286602964903,1730.7799082620197,89.77395608813487,0.6955912225464408,3666.9301509240604,4787.175360595203,247.49012336167868,-1.3287997934971258,11178.79999999997,85.59999999999991
L405S-108,1201620,2.0,288,1287.1090777111067,1756.8963831332699,96.89535902532253,0.5859300427007585,25075.847887560245,25229.452234736156,1076.9543578688395,-84.38804435912621,45731.59999999987,40446.199999999706
L405S-108,1201719,2.0,288,1267.943242286533,1788.5474426200628,123.07668945227302,0.2701304128723976,23240.15962014441,23344.210785241547,1263.099860871111,-123.3376715585219,26920.00000000001,18298.60000000006
L405S-117,1201558,2.0,288,1296.6921915836424,1799.585497297282,99.64848902359029,0.5431429683984703,20046.97420373095,20228.178756098525,934.419814514378,-56.72300210682086,43321.19999999997,36820.99999999985
L405S-005,1201589,7.0,288,1408.7071805501275,1811.8766213598892,91.56806345244226,0.6179697341714867,72265.69599969049,72329.91916893827,2809.1531473488894,-607.8025846191505,11433.39999999998,53.399999999999864
L405S-132,1222749,2.0,288,1367.5272100539062,1913.2734889821859,104.52074502935504,0.484437418636556,23915.411711219578,24068.480649999245,1057.76111275204,-80.58768932667766,45647.59999999978,39289.59999999962
L405S-024,1222909,5.0,288,1242.9019301961891,1922.1755498594891,55.34337019859258,0.4172577390140685,9062.069389449383,9406.478952626123,456.93987003538155,-12.955474046187376,10784.800000000012,177.7000000000006
L405S-023,1222845,5.0,288,1383.420199092331,2019.2788914192884,56.55079618452361,0.4281428046344947,3033.427609563263,4033.945611871815,213.48379543867466,-1.2822071211842974,13598.0,270.0
L405S-041,1222412,6.0,288,1853.5348501563374,2258.848169474006,182.51952793720307,-0.07767478193526323,6497.438171377858,6851.520685257908,500.2068719403747,-8.914882822967757,12576.6,12576.6
L405S-041,1201497,6.0,288,1823.855630394207,2342.599327684653,83.18301736351795,-0.037967216738725273,44563.064069213724,44620.91789675626,1199.7487197589476,-375.5863793878703,8431.750000000004,4406.583333333338
L405S-109,1222978,1.0,288,1612.6603565644136,2472.1339586659847,87.68766313606284,0.4077786655691391,2841.074225965356,4194.715408452138,156.58314536164548,-0.7050811392893213,113415.79999999925,113415.79999999925
L405S-014,1201315,6.0,288,1823.6237582473238,2638.3416475577797,198.7461796162619,-0.07438983299679225,3264.1357138897397,4161.547562044003,385.0433475164749,-1.6730651806039862,14221.0,14221.0
L405S-110,1201941,2.0,288,1988.6773296002154,2766.3599789341865,85.89927815673296,0.12712976606299486,2910.604788465234,4095.867942629076,160.97327180542723,-0.9134811547736983,64641.49999999982,62034.99999999967
