model_link_id,tmc_id,day_id,period_id,period_hours,samples,observed_volume_veh,average_flow_rate_vph,D_peak_1h_vph,k_d_daily_derived,D_status,nominal_capacity_vph,capacity_basis,cutoff_speed_mph,k_mu,mu_vph,mu_status,T2_timestamp_la,vT2_observed_mph,t0_clock_h,t3_clock_h,P_observed_h,speed_state_quality,volume_status
L405S-001,1222782,2025-06-18,PM,4.0,48,7118.0,1779.5,2886.0,1.621803877493678,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-18 17:35:00-07:00,63.50000000000001,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-19,AM,4.0,48,21989.0,5497.25,5617.0,1.0217836190822684,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 07:15:00-07:00,49.7,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-19,MD,5.0,60,21505.0,4301.0,5480.0,1.2741222971402,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 10:25:00-07:00,62.2,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-19,NT1,6.0,72,31131.0,5188.5,5543.0,1.06832417847162,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 04:15:00-07:00,60.8,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-19,NT2,5.0,60,9946.0,1989.2,4389.0,2.2064146390508745,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 23:35:00-07:00,66.1,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-19,PM,4.0,48,9134.0,2283.5,3035.0,1.3291000656886358,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 17:35:00-07:00,66.7,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-20,AM,4.0,48,21773.0,5443.25,5551.0,1.0197951591420567,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 09:50:00-07:00,60.6,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-20,MD,5.0,60,24035.0,4807.0,5648.0,1.1749531932598294,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 10:05:00-07:00,60.9,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-20,NT1,6.0,72,30766.0,5127.666666666667,5462.0,1.0652018461938504,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 03:25:00-07:00,60.9,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1222782,2025-06-20,NT2,5.0,60,6125.0,1225.0,2532.0,2.066938775510204,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 19:10:00-07:00,66.1,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
