corridor,net_link_id,tmc_code,lanes,miles,C_vphpl,C_veh_per_h,free_speed_mph,cutoff_mph,D_assign_vphpl,D_obs_vphpl,D_ratio,P_h_obs,T2_clock_obs,vT2_mph_obs,P_h_model,T2_clock_model,vT2_mph_model,P_h_err,T2_min_err,vT2_mph_err,speed_mae_episode_mph,speed_mae_pm_mph,mae_episode_assignment_only_mph,note
I395_SB,28307,110-04123,4,0.25,1900.0,7600.0,62.59,43.81,1749.2,1485.1,1.178,3.4,15:45,29.73,2.84,16:00,28.1,-0.56,15.0,-1.63,3.2,5.09,26.62,
I395_SB,28312,110N04124,4,0.31,1900.0,7600.0,62.23,43.56,1697.6,1587.2,1.07,3.56,15:45,29.33,3.09,16:00,27.91,-0.48,15.0,-1.41,2.59,4.09,27.48,
I66_EB,31804,110N04179,4,1.1,1900.0,7600.0,68.35,47.85,806.7,1800.1,0.448,5.18,17:30,29.39,2.11,17:30,29.92,-3.07,0.0,0.53,3.32,3.32,30.2,V_assign below the observed discharge
I66_WB,31354,110+04178,4,0.1,1900.0,7600.0,67.72,47.4,937.2,1647.4,0.569,6.39,17:45,24.7,10.33,17:45,24.55,,0.0,-0.16,0.55,0.55,39.67,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31358,110+04178,4,0.92,1900.0,7600.0,67.72,47.4,937.2,1647.4,0.569,6.39,17:45,24.7,10.31,17:45,24.46,,0.0,-0.25,0.57,0.57,39.67,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31388,110P04182,5,0.33,1900.0,9500.0,68.56,47.99,911.1,1597.4,0.57,4.61,16:45,22.92,9.1,17:00,22.66,,15.0,-0.26,0.33,0.33,41.94,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31404,110+04183,2,0.14,2000.0,4000.0,67.77,47.44,480.5,1434.8,0.335,5.35,17:15,15.38,9.61,17:15,15.29,,0.0,-0.09,0.54,0.54,49.45,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31406,110+04183,2,0.29,2000.0,4000.0,67.77,47.44,480.5,1434.8,0.335,5.35,17:15,15.38,9.61,17:15,15.29,,0.0,-0.09,0.54,0.54,49.45,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31411,110+04183,2,0.15,2000.0,4000.0,67.77,47.44,480.5,1434.8,0.335,5.35,17:15,15.38,9.61,17:15,15.29,,0.0,-0.09,0.54,0.54,49.45,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31414,110P04183,2,0.49,2000.0,4000.0,68.91,48.24,480.5,1533.2,0.313,5.36,17:45,17.42,9.59,17:45,17.5,,0.0,0.08,0.52,0.52,47.37,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31416,110+04184,2,0.25,2000.0,4000.0,68.98,48.29,480.5,1769.4,0.272,4.26,18:00,28.85,8.53,18:00,29.02,,0.0,0.16,2.16,3.27,31.72,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31418,110+04184,2,0.78,2000.0,4000.0,68.98,48.29,480.5,1769.4,0.272,4.26,18:00,28.85,8.49,18:00,28.96,,0.0,0.11,2.43,3.53,31.72,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31423,110+04184,2,1.07,2000.0,4000.0,68.98,48.29,480.5,1769.4,0.272,4.26,18:00,28.85,8.38,18:00,31.16,,0.0,2.31,4.71,5.66,31.72,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,31426,110+04184,2,0.67,2000.0,4000.0,68.98,48.29,480.5,1769.4,0.272,4.26,18:00,28.85,8.5,18:00,28.98,,0.0,0.12,2.4,3.5,31.72,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,32029,110+04178,4,0.14,1900.0,7600.0,67.72,47.4,937.2,1647.4,0.569,6.39,17:45,24.7,10.33,17:45,24.55,,0.0,-0.16,0.55,0.55,39.67,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,32031,110P04178,4,0.86,1900.0,7600.0,67.38,47.17,895.6,1825.7,0.491,6.02,18:00,33.49,8.72,17:45,38.48,,-15.0,4.99,6.4,6.4,29.7,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,32037,110P04181,4,1.15,1900.0,7600.0,68.33,47.83,1019.8,1406.8,0.725,2.97,17:15,40.33,,,,,,,11.29,12.06,25.03,model found no PM episode; V_assign below the observed discharge
I66_WB,32038,110P04181,5,0.23,1900.0,9500.0,68.33,47.83,919.6,1406.8,0.654,2.97,17:15,40.33,2.42,17:15,39.81,-0.54,0.0,-0.52,2.83,5.67,25.03,V_assign below the observed discharge
I66_WB,32867,110P04182,2,0.45,2000.0,4000.0,68.56,47.99,361.8,1681.5,0.215,4.61,16:45,22.92,9.09,17:00,22.65,,15.0,-0.26,0.34,0.34,41.94,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,32868,110+04182,5,0.39,2000.0,10000.0,67.62,47.33,919.6,1806.4,0.509,3.64,17:30,33.92,3.3,17:15,33.68,-0.34,-15.0,-0.23,2.38,3.13,28.7,V_assign below the observed discharge
I66_WB,38954,110+04184,2,1.13,2000.0,4000.0,68.98,48.29,480.5,1769.4,0.272,4.26,18:00,28.85,8.37,18:00,31.29,,0.0,2.44,4.9,5.85,31.72,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I66_WB,39141,110+04184,2,0.41,2000.0,4000.0,68.98,48.29,426.7,1769.4,0.241,4.26,18:00,28.85,8.52,18:00,29.0,,0.0,0.14,2.25,3.36,31.72,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
