period,link_id,corridor,tmc_code,lanes,period_hours,V_assign_veh,lower_bound_veh,upper_bound_veh,inside_window,below_lower,above_upper,V_over_lower,V_over_upper,queued_bins,pinned_by_queue_veh,absorbed_by_free_bins_veh,share_pinned,mu_free_vph,bins_clipped_at_mu_free,volume_not_placed_veh,share_not_placed,V_assign_vphpl,queue_peak_model_veh,queue_peak_meas_veh,peak_ratio,queue_at_AM_MD_boundary_veh,queue_at_MD_PM_boundary_veh,end_of_run_queue_veh,storage_veh,peak_over_storage,bins_over_storage,bins_at_capacity,unmet_demand_veh,residual_rmse_veh,residual_rmse_in_episode_veh,has_queue,length_mi,free_speed_mph,cutoff_mph,mae_period_mph_anchored,mae_episode_mph_anchored,bias_episode_mph_anchored,episode_bins_anchored,mae_period_mph_assignment,mae_episode_mph_assignment,bias_episode_mph_assignment,episode_bins_assignment,mae_period_mph_free_flow,mae_episode_mph_free_flow,bias_episode_mph_free_flow,episode_bins_free_flow,t0_min_obs,T2_min_obs,t3_min_obs,P_h_obs,vT2_mph_obs,t0_min_model,T2_min_model,t3_min_model,P_h_model,vT2_mph_model
AM,26274,I395_NB,110+04670,3,3.0,14006.3108,0.0,17100.0,True,False,False,,0.8190825029239766,0,0.0,14006.3108,0.0,5700.0,0,0.0,0.0,1556.2567555555554,0.0,0.0,,0.0,0.0,0.0,180.0,0.0,0,0,0.0,0.0,,False,0.3,62.25,43.575,6.788342391304347,,,0,6.788342391304347,,,0,6.788342391304347,,,0,,,,,,,,,,
AM,26297,I395_NB,110P04128,3,3.0,10549.4845,8567.133247776828,15692.133247776828,True,False,False,1.231390267302962,0.6722785445053872,7,8562.648937565367,1986.8355624346327,0.8116651517489188,5700.0,0,0.0,0.0,1172.1649444444445,31.100025371578116,36.45451211445384,0.8531186831944261,21.416280821551936,14.6799131285386,15.207313426727069,102.0,0.3049022095252756,0,30,61.97356173612775,2.471158064639498,3.253344982586444,True,0.17,58.1165,40.68155,1.6191211520018691,1.6191211520018691,0.3610391053058599,16,35.3198695652174,35.3198695652174,34.70954347826088,16,35.31986956521739,35.31986956521739,34.70954347826087,16,426.44410698333337,510.0,596.75172625,2.8384603211111115,19.482028985507245,444.0518510666667,510.0,586.4838650999999,2.3738669005555555,18.87616511511061
AM,26299,I66_WB,110P04166,3,3.0,0.0,7243.304841897077,17743.30484189708,False,True,False,0.0,0.0,5,7239.2511683658195,-7239.2511683658195,,6000.0,0,0.0,,0.0,4.9723013072512,11.521737209631365,0.4315582986127044,0.0,0.0,0.0,30.0,0.1657433769083733,0,6,9.192992905905156,2.2511395076172067,5.133309947389166,True,0.05,63.43,44.401,3.035244565217392,17.79,17.79,1,3.035244565217392,17.79,17.79,1,3.035244565217392,17.79,17.79,1,439.63810115,480.0,524.5433725666667,1.4150878569444445,34.46579710144928,459.9123676166666,480.0,514.2173836666667,0.9050836008333332,32.95836634369889
AM,26304,I66_WB,110P04164,2,3.0,0.0,0.0,12000.0,True,False,False,,0.0,0,0.0,0.0,,4000.0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,72.0,0.0,0,0,0.0,0.0,,False,0.18,55.89,39.123,2.611983695652175,,,0,2.611983695652175,,,0,2.611983695652175,,,0,,,,,,,,,,
AM,26313,I66_WB,110P04162,2,3.0,4782.5354,0.0,11400.0,True,False,False,,0.419520649122807,0,0.0,4782.5354,0.0,3800.0,0,0.0,0.0,797.0892333333333,0.0,0.0,,0.0,0.0,0.0,72.0,0.0,0,0,0.0,0.0,,False,0.18,51.45,36.015,4.165679347826089,,,0,4.165679347826089,,,0,4.165679347826089,,,0,,,,,,,,,,
AM,26354,I66_WB,110P04165,2,3.0,0.0,0.0,12000.0,True,False,False,,0.0,0,0.0,0.0,,4000.0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,220.00000000000003,0.0,0,0,0.0,0.0,,False,0.55,58.4465,40.91255,2.7512282608695706,,,0,2.7512282608695706,,,0,2.7512282608695635,,,0,,,,,,,,,,
AM,26359,I66_WB,110+04167,3,3.0,0.0,8571.326743956746,17571.326743956746,False,True,False,0.0,0.0,6,8487.86173724447,-8487.86173724447,,6000.0,0,0.0,,0.0,112.50310736762732,112.10518032282442,1.0035495865905304,0.0,28.85373486154185,0.0,480.0,0.2343814736825568,0,10,170.82253290409062,10.9621320941804,22.81949766211181,True,0.8,63.6565,44.55955,3.7656113145672343,0.0170636417713936,-0.0170636417713936,1,4.903701086956515,18.226499999999987,18.226499999999987,1,4.903701086956522,18.226499999999994,18.226499999999994,1,436.96640843333336,480.0,539.1057181,1.7023218277777776,32.59478260869566,461.0630636833333,480.0,525.2618779833333,1.0699802383333334,35.01456703025583
AM,26370,I66_WB,110+04169,3,3.0,0.0,8775.625825701298,16275.625825701298,False,True,False,0.0,0.0,7,9042.854295982404,-9042.854295982404,,6000.0,0,0.0,,0.0,272.01246563905534,253.89332386847684,1.071365176108233,191.54496067232407,150.7617654962205,0.0,972.0,0.2798482156780404,0,18,443.09527229425385,18.60901888361593,30.785651432667724,True,1.62,65.173,45.6211,3.399528066175354,3.960441920707176,3.960441920707176,2,5.937347826086958,24.263,24.263,2,5.937347826086958,24.263,24.263,2,431.3533986,495.0,598.4598140166667,2.785106923611111,21.774637681159422,443.46790031666666,495.0,587.77543795,2.4051256272222217,20.60105789492335
AM,26380,I66_WB,110+04166,2,3.0,0.0,0.0,12000.0,True,False,False,,0.0,0,0.0,0.0,,4000.0,0,0.0,,0.0,60.81260523608557,76.6336866247264,0.7935492590077737,0.0,0.0,0.0,352.0,0.1727630830570612,0,2,60.81260523608557,4.954543667061604,17.863861238115998,True,0.88,61.7,43.19,2.5616576086956537,9.867391304347828,9.867391304347828,1,2.5616576086956537,9.867391304347828,9.867391304347828,1,2.5616576086956537,9.867391304347828,9.867391304347828,1,,,,,,,,,,
AM,26423,I395_NB,110+04126,4,3.0,20783.8675,0.0,22800.0,True,False,False,,0.9115731359649124,0,0.0,20783.8675,0.0,7600.0,0,0.0,0.0,1731.9889583333334,0.0,0.0,,0.0,0.0,0.0,64.0,0.0,0,0,0.0,0.0,,False,0.08,65.51950000000001,45.86365,11.86319565217392,,,0,11.86319565217392,,,0,11.86319565217392,,,0,,,,,,,,,,
