corridor,net_link_id,period,tmcs,miles,lanes,capacity_vphpl,period_hours,congested_tmcs,P_h,min_speed_mph,D_veh_per_lane,V_veh_per_lane,D_veh_total,V_veh_total,D_over_C_h,V_over_C_h,our_avg_flow_over_C,dc_dta_doc,dc_dta_vol,matched_to_assignment,V_over_C_minus_dta_vol,V_over_C_div_dta_vol,D_over_C_div_dta_vol
I-395 NB,26230,AM,1,0.319695,3,2200.0,3.0,1,1.75,22.724,3473.089582906068,6203.23292243064,10419.268748718203,18609.69876729192,1.5786770831391217,2.8196513283775637,0.9398837761258546,0.8172,2.4514695964912283,True,0.3681817318863354,1.1501881697465517,0.6439717161488241
I-395 NB,26297,AM,1,0.19736,3,2200.0,3.0,1,2.5,16.903555555555556,4745.684376780398,5843.729386045178,14237.053130341195,17531.188158135534,2.1571292621729086,2.6562406300205357,0.8854135433401785,,,False,,,
I-395 NB,26423,AM,1,0.082891,4,2200.0,3.0,1,2.5,37.592666666666666,5388.54163693268,6479.792920563425,21554.16654773072,25919.1716822537,2.449337107696673,2.9453604184379203,0.9817868061459735,1.0093,3.027862921052632,True,-0.08250250261471193,0.9727522332530067,0.808932627255518
I-395 NB,26469,AM,1,0.162246,6,2200.0,3.0,1,3.0,13.394222222222224,4935.873738492272,4935.873738492272,29615.242430953636,29615.242430953636,2.243578972041942,2.243578972041942,0.747859657347314,,,False,,,
I-395 NB,26778,AM,1,0.391606,4,2200.0,3.0,1,2.5,39.68866666666667,5417.272284521506,6503.737776482014,21669.089138086023,26014.951105928056,2.462396492964321,2.9562444438554607,0.9854148146184869,0.8352,2.5055084736842104,True,0.45073597017125033,1.1798980027030075,0.9827931211677382
I-395 NB,26785,AM,1,0.778625,4,2200.0,3.0,1,1.5,44.04977777777778,3282.074374202718,6460.76167561061,13128.297496810872,25843.04670244244,1.4918519882739627,2.936709852550277,0.9789032841834256,0.8156,2.4468315875,True,0.4898782650502769,1.2002092287646162,0.6097076708896961
I-395 NB,26812,AM,1,0.095046,3,2200.0,3.0,1,1.0,35.340666666666664,2110.442391210209,6442.713983167208,6331.327173630627,19328.141949501623,0.9592919960046403,2.928506355985095,0.9761687853283649,0.0923,0.2767655166666666,True,2.6517408393184283,10.58118219081518,3.466082073945654
I-395 NB,26822,AM,1,0.02384,2,2200.0,3.0,1,2.0,17.608444444444444,3775.200528890623,5969.973094931544,7550.401057781246,11939.946189863089,1.7160002404048287,2.713624134059793,0.904541378019931,0.1624,0.4872127894736841,True,2.2264113445861087,5.569689861777252,3.522075523219645
I-395 NB,26825,AM,2,0.273911,3,2200.0,3.0,2,2.876682572076331,15.356,5349.708352549844,5620.979656482981,16049.125057649531,16862.938969448944,2.4316856147953834,2.5549907529468094,0.8516635843156032,,,False,,,
I-395 NB,26830,AM,1,0.080932,2,2200.0,3.0,1,3.0,13.48777777777778,5162.735434323801,5162.735434323801,10325.470868647602,10325.470868647602,2.346697924692637,2.346697924692637,0.7822326415642123,0.5150000000000001,1.5449153157894735,True,0.8017826089031634,1.5189815912294462,1.5189815912294462
I-395 NB,28025,AM,1,0.924456,4,2200.0,3.0,1,2.5,23.69533333333333,4885.461978484887,5940.877923568164,19541.84791393955,23763.511694272656,2.2206645356749486,2.700399056167347,0.9001330187224491,0.957,2.871068092105263,True,-0.17066903593791594,0.9405555596514015,0.773462859268728
I-395 NB,28270,AM,1,0.586105,4,2200.0,3.0,1,2.0,31.418222222222223,4109.453530039068,6222.624986676278,16437.814120156272,24890.499946705113,1.8679334227450308,2.828465903034672,0.942821967678224,0.8349,2.5047301578947367,True,0.3237357451399352,1.1292497493670295,0.745762339650614
I-395 NB,28285,AM,1,0.596275,4,2200.0,3.0,1,2.5,23.954222222222217,4907.939258309872,5988.319090940889,19631.757033239486,23953.276363763554,2.2308814810499418,2.7219632231549493,0.9073210743849831,0.8683000000000001,2.6049043026315792,True,0.11705892052337008,1.044937896722391,0.856415907024383
I-395 NB,28294,AM,1,0.3436,4,2200.0,3.0,1,2.5,25.540222222222223,4966.254050663717,6031.281291341208,19865.016202654868,24125.125165364832,2.257388204847144,2.7414914960641856,0.9138304986880619,0.9386,2.8158298289473684,True,-0.07433833288318281,0.9735998489258947,0.8016777795450143
I-395 NB,28303,AM,1,0.704235,4,2200.0,3.0,1,2.5,31.825777777777784,5152.830629808363,6220.957627669701,20611.32251923345,24883.830510678803,2.342195740821983,2.8277080125771366,0.9425693375257121,0.9303,2.790811355263158,True,0.0368966573139784,1.0132207636479604,0.839252619638681
I-395 NB,29007,AM,1,0.27347,4,2200.0,3.0,1,2.5,20.142444444444447,4630.178558587734,5719.768959084781,18520.714234350937,22879.075836339125,2.1046266175398793,2.5998949814021732,0.866631660467391,,,False,,,
I-395 NB,29361,AM,1,1.621245,4,2200.0,3.0,1,2.75,14.053111111111113,4997.307482214514,5547.287203757448,19989.229928858054,22189.148815029792,2.271503401006597,2.5214941835261127,0.8404980611753708,1.4263999999999997,4.279330881578948,True,-1.7578366980528357,0.589226272354933,0.5308080781471327
I-395 NB,32141,AM,1,1.151222,4,2200.0,3.0,1,2.0,40.88377777777779,4349.192620997555,6491.974048467524,17396.77048399022,25967.896193870096,1.9769057368170706,2.9508972947579655,0.9836324315859885,0.837,2.5111236875,True,0.43977360725796544,1.17513020543237,0.7872594036915876
I-395 NB,32601,AM,1,0.647875,4,2200.0,3.0,1,2.25,39.28622222222222,4843.67702513256,6467.97700334649,19374.70810053024,25871.90801338596,2.2016713750602546,2.9399895469756774,0.9799965156585592,0.7803,2.3409513125,True,0.5990382344756773,1.2558952128893015,0.9405028474124895
I-395 NB,26230,MD,1,0.319695,3,2200.0,6.0,1,1.75,30.084222222222223,3735.333555923829,13001.336737301484,11206.000667771486,39004.01021190445,1.697878889056286,5.9096985169552205,0.98494975282587,,,False,,,
I-395 NB,26297,MD,1,0.19736,3,2200.0,6.0,1,4.0,23.710444444444445,8297.019310009138,12694.353322322844,24891.057930027415,38083.05996696853,3.7713724136405173,5.770160601055839,0.9616934335093065,,,False,,,
I-395 NB,26423,MD,1,0.082891,4,2200.0,6.0,0,0.0,51.56711111111112,0.0,12954.975710663954,0.0,51819.902842655814,0.0,5.8886253230290695,0.9814375538381782,,,False,,,
I-395 NB,26469,MD,1,0.162246,6,2200.0,6.0,1,6.0,12.784,10757.551266126173,10757.551266126173,64545.30759675703,64545.30759675703,4.889796030057351,4.889796030057351,0.8149660050095585,,,False,,,
I-395 NB,26778,MD,1,0.391606,4,2200.0,6.0,0,0.0,51.154,0.0,12934.762928111888,0.0,51739.05171244755,0.0,5.879437694596312,0.9799062824327187,,,False,,,
I-395 NB,26785,MD,1,0.778625,4,2200.0,6.0,0,0.0,50.54377777777778,0.0,12359.989049424512,0.0,49439.95619769805,0.0,5.618176840647505,0.9363628067745843,,,False,,,
I-395 NB,26812,MD,1,0.095046,3,2200.0,6.0,1,0.75,40.072,1627.2548737553195,12799.139354671388,4881.764621265958,38397.418064014164,0.739661306252418,5.817790615759722,0.969631769293287,,,False,,,
I-395 NB,26822,MD,1,0.02384,2,2200.0,6.0,1,3.25,25.806,6860.531021467692,12894.818699350752,13721.062042935384,25789.637398701503,3.1184231915762237,5.8612812269776144,0.9768802044962691,0.1283,0.7695531052631579,True,5.091728121714457,7.616474011852995,4.0522521061231265
I-395 NB,26825,MD,2,0.273911,3,2200.0,6.0,2,6.0,16.66266666666667,12067.914957902194,12067.914957902194,36203.744873706586,36203.744873706586,5.485415889955543,5.485415889955543,0.9142359816592571,,,False,,,
I-395 NB,26830,MD,1,0.080932,2,2200.0,6.0,1,6.0,13.839333333333334,11250.211704722493,11250.211704722493,22500.423409444986,22500.423409444986,5.113732593055679,5.113732593055679,0.8522887655092798,,,False,,,
I-395 NB,28025,MD,1,0.924456,4,2200.0,6.0,1,0.5,38.096222222222224,1072.5083613404108,12550.826496612464,4290.033445361643,50203.30598644986,0.48750380060927767,5.704921134823848,0.9508201891373079,,,False,,,
I-395 NB,28270,MD,1,0.586105,4,2200.0,6.0,1,0.25,44.66844444444445,545.2008281170225,12455.685524501205,2180.80331246809,49822.74209800482,0.24781855823501023,5.6616752384096385,0.9436125397349397,,,False,,,
I-395 NB,28285,MD,1,0.596275,4,2200.0,6.0,1,0.5,39.80244444444444,1079.4727613943055,12851.26383371,4317.891045577222,51405.05533484,0.4906694369974116,5.841483560777273,0.9735805934628788,,,False,,,
I-395 NB,28294,MD,1,0.3436,4,2200.0,6.0,1,0.25,42.89422222222223,541.2681136529986,12576.088858662506,2165.0724546119945,50304.355434650024,0.24603096075136302,5.716404026664775,0.9527340044441291,,,False,,,
I-395 NB,28303,MD,1,0.704235,4,2200.0,6.0,1,0.25,44.84688888888889,545.5361616166751,12471.56053977025,2182.1446464667006,49886.242159081,0.24797098255303415,5.668891154441022,0.944815192406837,,,False,,,
I-395 NB,29007,MD,1,0.27347,4,2200.0,6.0,1,6.0,22.61711111111111,12249.594820937416,12249.594820937416,48998.379283749666,48998.379283749666,5.567997645880644,5.567997645880644,0.927999607646774,,,False,,,
I-395 NB,29361,MD,1,1.621245,4,2200.0,6.0,1,3.0,18.802,6122.541492303865,12718.907102845333,24490.16596921546,50875.62841138133,2.782973405592666,5.781321410384242,0.9635535683973737,,,False,,,
I-395 NB,32141,MD,1,1.151222,4,2200.0,6.0,0,0.0,50.86155555555556,0.0,12781.164389314195,0.0,51124.65755725678,0.0,5.809620176960998,0.9682700294934996,,,False,,,
I-395 NB,32601,MD,1,0.647875,4,2200.0,6.0,1,4.25,40.94733333333334,9281.882978981328,13131.655193260329,37127.53191592531,52526.620773041315,4.219037717718786,5.968934178754695,0.9948223631257824,,,False,,,
I-395 NB,26230,NT,1,0.319695,3,2200.0,11.0,1,0.75,41.68955555555556,1626.469736320833,23590.5652705809,4879.409208962499,70771.6958117427,0.7393044256003786,10.722984213900409,0.9748167467182189,,,False,,,
I-395 NB,26297,NT,1,0.19736,3,2200.0,11.0,1,1.25,26.87444444444445,2523.0036570750813,23743.97302902148,7569.010971225243,71231.91908706444,1.146819844125037,10.792715013191582,0.9811559102901438,,,False,,,
I-395 NB,26423,NT,1,0.082891,4,2200.0,11.0,0,0.0,52.196,0.0,22073.087136577724,0.0,88292.3485463109,0.0,10.033221425717148,0.9121110387015589,,,False,,,
I-395 NB,26469,NT,1,0.162246,6,2200.0,11.0,1,8.25,17.615777777777776,17229.363257354657,23272.07472082041,103376.17954412794,139632.44832492244,7.831528753343026,10.578215782191094,0.9616559801991904,,,False,,,
I-395 NB,26778,NT,1,0.391606,4,2200.0,11.0,0,0.0,53.38133333333334,0.0,22467.066381245924,0.0,89868.2655249837,0.0,10.212302900566328,0.9283911727787572,,,False,,,
I-395 NB,26785,NT,1,0.778625,4,2200.0,11.0,0,0.0,58.18844444444445,0.0,21489.272138632503,0.0,85957.08855453001,0.0,9.767850972105682,0.8879864520096075,,,False,,,
I-395 NB,26812,NT,1,0.095046,3,2200.0,11.0,0,0.0,54.58488888888888,0.0,23202.029281331543,0.0,69606.08784399462,0.0,10.546376946059793,0.9587615405508902,,,False,,,
I-395 NB,26822,NT,1,0.02384,2,2200.0,11.0,1,1.0,31.08044444444444,2057.123321293158,23700.84707908324,4114.246642586316,47401.69415816648,0.9350560551332536,10.7731123086742,0.9793738462431091,,,False,,,
I-395 NB,26825,NT,2,0.273911,3,2200.0,11.0,2,5.270190864915976,20.56355555555556,11123.388588774467,23681.583310682665,33370.1657663234,71044.749932048,5.056085722170212,10.764356050310303,0.9785778227554821,,,False,,,
I-395 NB,26830,NT,1,0.080932,2,2200.0,11.0,1,7.5,18.738,15743.50217914426,23432.622925175816,31487.00435828852,46865.24585035163,7.156137354156481,10.65119223871628,0.9682902035196619,,,False,,,
I-395 NB,28025,NT,1,0.924456,4,2200.0,11.0,0,0.0,56.34333333333333,0.0,20753.829138399116,0.0,83015.31655359647,0.0,9.433558699272325,0.8575962453883932,,,False,,,
I-395 NB,28270,NT,1,0.586105,4,2200.0,11.0,0,0.0,58.58466666666667,0.0,20469.30535021132,0.0,81877.22140084529,0.0,9.304229704641509,0.845839064058319,,,False,,,
I-395 NB,28285,NT,1,0.596275,4,2200.0,11.0,0,0.0,52.849555555555554,0.0,21865.070430033134,0.0,87460.28172013254,0.0,9.938668377287788,0.9035153070261626,,,False,,,
I-395 NB,28294,NT,1,0.3436,4,2200.0,11.0,0,0.0,54.334,0.0,20770.849139887712,0.0,83083.39655955085,0.0,9.441295063585324,0.8582995512350294,,,False,,,
I-395 NB,28303,NT,1,0.704235,4,2200.0,11.0,0,0.0,53.903777777777776,0.0,20632.28186450173,0.0,82529.12745800691,0.0,9.378309938409876,0.8525736307645342,,,False,,,
I-395 NB,29007,NT,1,0.27347,4,2200.0,11.0,1,0.5,37.935555555555545,1069.6034715970577,22467.305720715543,4278.413886388231,89869.22288286217,0.4861833961804808,10.212411691234339,0.9284010628394853,,,False,,,
I-395 NB,29361,NT,1,1.621245,4,2200.0,11.0,1,0.25,45.046666666666674,545.8981584843818,21899.25554603188,2183.5926339375274,87597.02218412752,0.24813552658380994,9.954207066378126,0.9049279151252843,,,False,,,
I-395 NB,32141,NT,1,1.151222,4,2200.0,11.0,0,0.0,54.06133333333333,0.0,21484.61183826021,0.0,85938.44735304084,0.0,9.765732653754641,0.8877938776140583,,,False,,,
I-395 NB,32601,NT,1,0.647875,4,2200.0,11.0,1,0.25,48.53288888888888,549.7950649603949,22039.13560694904,2199.1802598415798,88156.54242779616,0.24990684770927044,10.017788912249562,0.9107080829317784,,,False,,,
I-395 NB,26230,PM,1,0.319695,3,2200.0,4.0,1,4.0,33.81111111111111,8458.03387621796,8458.03387621796,25374.10162865388,25374.10162865388,3.8445608528263455,3.8445608528263455,0.9611402132065864,0.5952,2.380916350877193,True,1.4636445019491524,1.6147399934524818,1.6147399934524818
